Query	Ref	ANI	Bidirect_FragMap	Total_Query_Frags
N0072	R26791	99.8722	1451	1473
N0072	R27725	99.8722	1451	1473
N0072	R20574	99.8715	1450	1473
N0072	R21408	99.8711	1450	1473
N0072	QC-8	99.8706	1458	1473
N0072	R30420	99.8706	1453	1473
N0072	R23146	99.8693	1450	1473
N0072	R21363	99.868	1460	1473
N0072	R23571	99.8676	1453	1473
N0072	QC-10	99.8673	1460	1473
N0072	mada_102	99.8667	1457	1473
N0072	QC-4	99.8658	1461	1473
N0072	mada_139	99.8654	1459	1473
N0072	QC-1	99.8653	1456	1473
N0072	mada_2-31	99.8649	1465	1473
N0072	TB2661	99.8643	1452	1473
N0072	TB3386	99.8617	1454	1473
N0072	M0010874_7	99.859	1452	1473
N0072	mada_2-25	99.8579	1454	1473
N0072	18_0621851	99.857	1454	1473
N0072	R20260	99.8558	1451	1473
N0072	R15311	99.8557	1463	1473
N0072	M0016395_7	99.8555	1460	1473
N0072	02_R1179	99.8548	1458	1473
N0072	3003-06	99.8544	1451	1473
N0072	R28980	99.8543	1452	1473
N0072	TB2981	99.8531	1452	1473
N0072	702-06	99.8526	1452	1473
N0072	R28581	99.8518	1454	1473
N0072	mada_1-11	99.8515	1454	1473
N0072	TB1612	99.8512	1453	1473
N0072	R36431	99.851	1458	1473
N0072	R30234	99.8506	1458	1473
N0072	TB3162	99.8506	1458	1473
N0072	R31095	99.8505	1457	1473
N0072	R29816	99.8503	1458	1473
N0072	QC-6	99.8503	1458	1473
N0072	R24120	99.8503	1458	1473
N0072	696-05	99.8502	1451	1473
N0072	TB2995	99.8497	1456	1473
N0072	R30078	99.8483	1458	1473
N0072	R28012	99.8483	1458	1473
N0072	R27657	99.8483	1458	1473
N0072	QC-7	99.8479	1459	1473
N0072	R26778	99.8476	1452	1473
N0072	R29598	99.8473	1451	1473
N0072	S0107-01	99.8471	1458	1473
N0072	mada_115	99.8471	1455	1473
N0072	R32929	99.8464	1453	1473
N0072	RW-TB008	99.8463	1445	1473
N0072	TB2659	99.8462	1459	1473
N0072	R25048	99.8455	1455	1473
N0072	S0256-08	99.8449	1453	1473
N0072	TB1236	99.8447	1459	1473
N0072	R37765	99.8439	1455	1473
N0072	TB2780	99.8421	1456	1473
N0072	R21893	99.8418	1458	1473
N0072	N0155	99.8412	1456	1473
N0072	mada_2-42	99.841	1455	1473
N0072	TB3113	99.8392	1454	1473
N0072	8129-04	99.8391	1456	1473
N0072	mada_123	99.8387	1455	1473
N0072	TB2512	99.8379	1457	1473
N0072	M0003941_3	99.8361	1456	1473
N0072	R18040	99.8354	1453	1473
N0072	R27937	99.8353	1453	1473
N0072	R18043	99.8352	1454	1473
N0072	R22601	99.8352	1453	1473
N0072	S0089-01	99.8337	1459	1473
N0072	8651-04	99.8336	1453	1473
N0072	R28703	99.8333	1459	1473
N0072	R24100	99.8327	1459	1473
N0072	4549-04	99.8304	1454	1473
N0072	S0085-01	99.8295	1453	1473
N0072	TB3368	99.8269	1454	1473
N0072	S0070-08	99.826	1459	1473
N0072	TB3091	99.8251	1459	1473
N0072	TB3396	99.8243	1459	1473
N0072	R30215	99.8238	1460	1473
N0072	9050-05	99.8232	1458	1473
N0072	706-05	99.8225	1456	1473
N0072	N0145	99.822	1455	1473
N0153	N0153	100.0	1462	1463
N0153	mada_118	99.957	1461	1463
N0153	mada_1-44	99.9562	1461	1463
N0153	mada_1-10	99.9558	1461	1463
N0153	N0072	99.9555	1460	1463
N0153	mada_1-36	99.9528	1460	1463
N0153	mada_1-51	99.9522	1462	1463
N0153	mada_1-1	99.9513	1461	1463
N0153	mada_2-46	99.951	1458	1463
N0153	mada_107	99.951	1459	1463
N0153	R27252	99.951	1457	1463
N0153	mada_122	99.9505	1462	1463
N0153	mada_117	99.9464	1456	1463
N0153	R23887	99.9459	1458	1463
N0153	mada_1-39	99.9438	1459	1463
N0153	R21770	99.9138	1447	1463
N0153	mada_1-41	99.91	1449	1463
N0153	mada_2-31	99.9091	1450	1463
N0153	mada_1-32	99.9072	1447	1463
N0153	R21839	99.9064	1449	1463
N0153	R20896	99.9045	1448	1463
N0153	R30396	99.9041	1448	1463
N0153	mada_105	99.9031	1445	1463
N0153	TB3334	99.9031	1451	1463
N0153	S0106-01	99.9023	1451	1463
N0153	M0017522_5	99.9009	1455	1463
N0153	MT_0080	99.9006	1449	1463
N0153	TB3169	99.8999	1443	1463
N0153	M0014888_3	99.8999	1441	1463
N0153	N0004	99.898	1442	1463
N0153	mada_103	99.8967	1448	1463
N0153	02_R1896	99.896	1440	1463
N0153	M0016395_7	99.8958	1451	1463
N0153	mada_139	99.8957	1451	1463
N0153	M0011368_9	99.8946	1444	1463
N0153	mada_129	99.8943	1446	1463
N0153	M0016737_0	99.8939	1450	1463
N0153	01_R1430	99.8938	1443	1463
N0153	mada_112	99.8929	1447	1463
N0153	R21363	99.8923	1451	1463
N0153	mada_102	99.8921	1446	1463
N0153	mada_2-25	99.892	1448	1463
N0153	S0123-01	99.8912	1448	1463
N0153	S0262-02	99.8912	1448	1463
N0153	TB3251	99.8911	1451	1463
N0153	02_R1708	99.8908	1449	1463
N0153	TB3237	99.8908	1446	1463
N0153	QC-4	99.8902	1449	1463
N0153	02_R0894	99.8902	1450	1463
N0153	QC-8	99.8897	1451	1463
N0153	R15311	99.8896	1453	1463
N0153	mada_151	99.8893	1446	1463
N0153	TB3162	99.8887	1446	1463
N0153	mada_1-15	99.8886	1446	1463
N0153	N1202	99.8884	1451	1463
N0153	mada_128	99.8882	1443	1463
N0153	02_R1179	99.888	1446	1463
N0153	TB4620	99.8879	1448	1463
N0153	N1274	99.8876	1455	1463
N0153	QC-6	99.8863	1443	1463
N0153	N1177	99.8856	1444	1463
N0153	M0010874_7	99.8845	1451	1463
N0153	QC-10	99.8842	1452	1463
N0153	mada_124	99.884	1450	1463
N0153	3003-06	99.8832	1443	1463
N0153	N0054	99.8832	1450	1463
N0153	R23571	99.8828	1450	1463
N0153	N1272	99.8828	1446	1463
N0153	mada_115	99.8826	1443	1463
N0153	mada_123	99.8824	1442	1463
N0153	702-06	99.8823	1443	1463
N0153	mada_1-38	99.8812	1446	1463
N0153	QC-5	99.8809	1449	1463
N0153	TB2968	99.8807	1448	1463
N0153	TB3386	99.8805	1443	1463
N0153	mada_1-12	99.8804	1444	1463
N0153	S0070-08	99.8804	1444	1463
N0153	mada_126	99.8802	1440	1463
N0153	S0085-01	99.8802	1444	1463
N0153	N0091	99.8796	1448	1463
N0153	QC-7	99.8791	1450	1463
N0153	18_0621851	99.8779	1443	1463
N0153	N0155	99.8773	1446	1463
N0153	R32929	99.8772	1445	1463
N0153	QC-3	99.8771	1450	1463
N0153	TB2780	99.877	1444	1463
N0153	mada_1-53	99.877	1448	1463
N0153	mada_2-53	99.877	1448	1463
N0153	M0003941_3	99.877	1444	1463
N0153	R21893	99.8769	1445	1463
N0153	R27937	99.8769	1444	1463
N0153	R18040	99.8768	1444	1463
N0153	R18043	99.8768	1444	1463
N0153	R28703	99.8768	1448	1463
N0153	R26791	99.8767	1447	1463
N0153	R22601	99.8765	1444	1463
N0153	01_R1134	99.8763	1446	1463
N0153	N1176	99.8758	1453	1463
N0153	QC-1	99.8756	1450	1463
N0153	R26778	99.8756	1446	1463
N0153	mada_2-1	99.8755	1443	1463
N0153	R28980	99.8754	1447	1463
N0153	TB2995	99.8753	1447	1463
N0153	TB2659	99.8752	1444	1463
N0153	R30215	99.8752	1447	1463
N0153	R23146	99.8748	1445	1463
N0153	QC-9	99.8747	1450	1463
N0153	TB2661	99.8744	1442	1463
N0153	mada_1-50	99.8744	1449	1463
N0153	TB3054	99.8742	1453	1463
N0153	TB3091	99.874	1448	1463
N0153	696-05	99.8731	1444	1463
N0153	9050-05	99.873	1447	1463
N0153	TB3396	99.8729	1448	1463
N0153	R29598	99.8727	1442	1463
N0153	8651-04	99.8724	1446	1463
N0153	TB2512	99.8717	1448	1463
N0153	TB1236	99.8716	1444	1463
N0153	R20260	99.8716	1445	1463
N0153	R20574	99.8715	1445	1463
N0153	R21408	99.8712	1445	1463
N0153	mada_1-30	99.8706	1450	1463
N0153	R27725	99.87	1445	1463
N0153	S0256-08	99.8693	1442	1463
N0153	R24100	99.8691	1446	1463
N0153	706-05	99.8681	1442	1463
N0153	S0089-01	99.8678	1448	1463
N0153	R36431	99.8675	1443	1463
N0153	R30234	99.8673	1442	1463
N0153	8129-04	99.8673	1448	1463
N0153	R31095	99.8671	1442	1463
N0153	R24120	99.867	1442	1463
N0153	R29816	99.8666	1445	1463
N0153	mada_120	99.8665	1445	1463
N0153	TB1612	99.8664	1446	1463
N0153	R30420	99.8649	1447	1463
N0153	R25048	99.8646	1448	1463
N0153	mada_1-11	99.8637	1448	1463
N0153	R37765	99.8631	1447	1463
N0153	R30078	99.8621	1443	1463
N0153	R28012	99.8621	1443	1463
N0153	R27657	99.8621	1443	1463
N0153	TB2981	99.8602	1447	1463
N0153	4549-04	99.8586	1445	1463
N0153	S0107-01	99.8579	1447	1463
N0153	R28581	99.8578	1445	1463
N0153	N0145	99.8577	1442	1463
N0153	TB3368	99.8576	1440	1463
N0153	TB3113	99.8569	1449	1463
N0153	mada_2-42	99.8568	1446	1463
N0153	RW-TB008	99.8228	1438	1463
TB3113	TB3113	100.0	1473	1473
TB3113	TB2981	99.9979	1472	1473
TB3113	TB2512	99.9957	1473	1473
TB3113	TB2995	99.9942	1473	1473
TB3113	706-05	99.9884	1473	1473
TB3113	R28703	99.985	1468	1473
TB3113	TB2659	99.9839	1468	1473
TB3113	R36431	99.9836	1470	1473
TB3113	TB3396	99.9833	1465	1473
TB3113	R30234	99.9832	1470	1473
TB3113	R31095	99.9831	1470	1473
TB3113	R24120	99.9829	1470	1473
TB3113	R28012	99.9828	1470	1473
TB3113	R29816	99.9828	1470	1473
TB3113	R30078	99.9828	1469	1473
TB3113	R27657	99.9827	1470	1473
TB3113	TB3368	99.9826	1468	1473
TB3113	S0085-01	99.9822	1468	1473
TB3113	TB3091	99.9822	1468	1473
TB3113	S0089-01	99.9821	1468	1473
TB3113	S0107-01	99.9818	1469	1473
TB3113	R29598	99.9817	1466	1473
TB3113	TB1236	99.9816	1469	1473
TB3113	3003-06	99.9816	1467	1473
TB3113	R28581	99.9815	1467	1473
TB3113	TB2780	99.9815	1468	1473
TB3113	R24100	99.9811	1467	1473
TB3113	9050-05	99.9808	1466	1473
TB3113	4549-04	99.9804	1464	1473
TB3113	S0070-08	99.9804	1472	1473
TB3113	R37765	99.9803	1469	1473
TB3113	N0155	99.9802	1469	1473
TB3113	696-05	99.9801	1468	1473
TB3113	S0256-08	99.98	1467	1473
TB3113	R25048	99.98	1469	1473
TB3113	TB1612	99.9799	1468	1473
TB3113	8651-04	99.979	1468	1473
TB3113	mada_115	99.9785	1470	1473
TB3113	702-06	99.9783	1468	1473
TB3113	M0003941_3	99.9779	1471	1473
TB3113	8129-04	99.9778	1469	1473
TB3113	R30215	99.9769	1472	1473
TB3113	18_0621851	99.9764	1468	1473
TB3113	mada_1-11	99.9748	1467	1473
TB3113	N0145	99.9744	1470	1473
TB3113	mada_2-42	99.973	1472	1473
TB3113	R21408	99.9469	1461	1473
TB3113	R21893	99.9467	1460	1473
TB3113	R26791	99.9461	1461	1473
TB3113	R27725	99.9459	1462	1473
TB3113	R20260	99.9448	1462	1473
TB3113	R20574	99.9447	1462	1473
TB3113	R30420	99.9442	1463	1473
TB3113	R32929	99.9425	1464	1473
TB3113	R28980	99.942	1463	1473
TB3113	R23146	99.9415	1460	1473
TB3113	R26778	99.939	1464	1473
TB3113	R18040	99.9378	1465	1473
TB3113	R27937	99.9377	1465	1473
TB3113	R18043	99.9376	1465	1473
TB3113	R22601	99.9375	1465	1473
TB3113	mada_112	99.9179	1448	1473
TB3113	mada_2-25	99.9162	1451	1473
TB3113	R21363	99.9162	1451	1473
TB3113	mada_2-53	99.9149	1452	1473
TB3113	mada_124	99.9149	1450	1473
TB3113	mada_1-53	99.9143	1453	1473
TB3113	QC-5	99.9141	1457	1473
TB3113	M0017522_5	99.9135	1454	1473
TB3113	mada_2-1	99.913	1453	1473
TB3113	mada_1-50	99.9127	1454	1473
TB3113	QC-3	99.9119	1458	1473
TB3113	QC-9	99.9116	1457	1473
TB3113	S0123-01	99.911	1450	1473
TB3113	S0262-02	99.911	1450	1473
TB3113	mada_1-32	99.9109	1451	1473
TB3113	mada_103	99.9108	1454	1473
TB3113	mada_123	99.9108	1455	1473
TB3113	mada_1-38	99.9099	1450	1473
TB3113	S0106-01	99.9099	1453	1473
TB3113	R15311	99.9099	1454	1473
TB3113	R23571	99.9085	1455	1473
TB3113	TB3251	99.9084	1456	1473
TB3113	TB3237	99.9083	1456	1473
TB3113	mada_139	99.9081	1454	1473
TB3113	R30396	99.9081	1451	1473
TB3113	R20896	99.9075	1453	1473
TB3113	mada_1-12	99.9075	1455	1473
TB3113	01_R1134	99.9073	1457	1473
TB3113	MT_0080	99.9072	1452	1473
TB3113	02_R0894	99.9067	1449	1473
TB3113	TB3386	99.9062	1450	1473
TB3113	TB3169	99.9062	1448	1473
TB3113	QC-7	99.9058	1448	1473
TB3113	mada_2-31	99.9058	1458	1473
TB3113	M0011368_9	99.9055	1453	1473
TB3113	mada_105	99.9054	1448	1473
TB3113	TB2661	99.904	1453	1473
TB3113	R21839	99.904	1451	1473
TB3113	TB3334	99.9039	1457	1473
TB3113	N1274	99.9038	1464	1473
TB3113	mada_1-15	99.9038	1456	1473
TB3113	mada_128	99.9037	1451	1473
TB3113	N0054	99.9035	1458	1473
TB3113	TB3162	99.9031	1450	1473
TB3113	02_R1896	99.9025	1454	1473
TB3113	02_R1708	99.9021	1451	1473
TB3113	mada_1-30	99.9018	1458	1473
TB3113	mada_1-41	99.9014	1461	1473
TB3113	QC-1	99.9011	1447	1473
TB3113	M0016395_7	99.901	1457	1473
TB3113	02_R1179	99.9005	1452	1473
TB3113	M0014888_3	99.9005	1449	1473
TB3113	N0004	99.9002	1463	1473
TB3113	TB3054	99.9001	1458	1473
TB3113	TB2968	99.8993	1459	1473
TB3113	QC-4	99.8989	1454	1473
TB3113	QC-8	99.8975	1451	1473
TB3113	M0016737_0	99.8974	1458	1473
TB3113	R21770	99.8967	1449	1473
TB3113	01_R1430	99.8956	1457	1473
TB3113	M0010874_7	99.8943	1449	1473
TB3113	mada_102	99.8917	1455	1473
TB3113	QC-10	99.8914	1457	1473
TB3113	QC-6	99.8899	1451	1473
TB3113	TB4620	99.8896	1457	1473
TB3113	mada_120	99.8882	1450	1473
TB3113	mada_129	99.8865	1451	1473
TB3113	mada_126	99.8816	1451	1473
TB3113	mada_151	99.8744	1455	1473
TB3113	mada_1-1	99.8699	1455	1473
TB3113	R27252	99.8696	1455	1473
TB3113	N0153	99.8658	1445	1473
TB3113	RW-TB008	99.8621	1444	1473
TB3113	N1202	99.8614	1447	1473
TB3113	N0091	99.8608	1445	1473
TB3113	N1272	99.8587	1458	1473
TB3113	N1177	99.8579	1447	1473
TB3113	N0072	99.8575	1452	1473
TB3113	mada_107	99.8541	1451	1473
TB3113	mada_118	99.8524	1454	1473
TB3113	mada_117	99.8511	1448	1473
TB3113	mada_2-46	99.851	1450	1473
TB3113	N1176	99.8503	1450	1473
TB3113	mada_1-44	99.8502	1455	1473
TB3113	mada_1-36	99.8498	1453	1473
TB3113	mada_1-51	99.8483	1455	1473
TB3113	mada_1-39	99.8482	1454	1473
TB3113	mada_122	99.8424	1456	1473
TB3113	mada_1-10	99.8368	1453	1473
TB3113	R23887	99.8352	1451	1473
TB1236	TB1236	100.0	1471	1471
TB1236	TB2659	99.9955	1471	1471
TB1236	TB3091	99.9861	1467	1471
TB1236	TB3396	99.985	1467	1471
TB1236	TB2780	99.9835	1469	1471
TB1236	9050-05	99.9834	1467	1471
TB1236	8129-04	99.9827	1470	1471
TB1236	S0070-08	99.9823	1471	1471
TB1236	R36431	99.9817	1470	1471
TB1236	TB2981	99.9817	1470	1471
TB1236	R25048	99.9817	1467	1471
TB1236	TB2512	99.9815	1470	1471
TB1236	R30234	99.9814	1469	1471
TB1236	R31095	99.9812	1469	1471
TB1236	TB3113	99.981	1469	1471
TB1236	R29816	99.981	1470	1471
TB1236	R24120	99.981	1470	1471
TB1236	696-05	99.981	1467	1471
TB1236	R28012	99.9808	1469	1471
TB1236	R30078	99.9808	1469	1471
TB1236	R27657	99.9808	1469	1471
TB1236	TB1612	99.9807	1467	1471
TB1236	S0107-01	99.9807	1465	1471
TB1236	3003-06	99.9803	1469	1471
TB1236	R30215	99.9802	1471	1471
TB1236	4549-04	99.9801	1466	1471
TB1236	N0155	99.98	1469	1471
TB1236	TB2995	99.98	1470	1471
TB1236	8651-04	99.9798	1467	1471
TB1236	S0089-01	99.9797	1466	1471
TB1236	702-06	99.9796	1469	1471
TB1236	TB3368	99.9794	1468	1471
TB1236	R37765	99.9791	1468	1471
TB1236	M0003941_3	99.9791	1470	1471
TB1236	R28703	99.9789	1471	1471
TB1236	R24100	99.9787	1467	1471
TB1236	R28581	99.9786	1465	1471
TB1236	mada_1-11	99.9782	1468	1471
TB1236	18_0621851	99.9774	1467	1471
TB1236	706-05	99.9764	1469	1471
TB1236	R29598	99.9761	1468	1471
TB1236	N0145	99.9758	1469	1471
TB1236	mada_115	99.9752	1468	1471
TB1236	S0085-01	99.9747	1469	1471
TB1236	mada_2-42	99.9737	1470	1471
TB1236	S0256-08	99.9699	1466	1471
TB1236	R26791	99.9537	1457	1471
TB1236	R27725	99.9536	1456	1471
TB1236	R23146	99.9536	1456	1471
TB1236	R20260	99.9522	1459	1471
TB1236	R21408	99.9519	1459	1471
TB1236	R28980	99.9512	1459	1471
TB1236	R20574	99.9499	1461	1471
TB1236	R32929	99.9499	1459	1471
TB1236	R21893	99.9491	1460	1471
TB1236	R18040	99.9477	1459	1471
TB1236	R30420	99.9477	1463	1471
TB1236	R27937	99.9477	1459	1471
TB1236	R18043	99.9476	1459	1471
TB1236	R22601	99.9473	1459	1471
TB1236	R26778	99.9406	1461	1471
TB1236	N1274	99.9206	1459	1471
TB1236	QC-9	99.9198	1456	1471
TB1236	TB4620	99.9197	1448	1471
TB1236	QC-5	99.9197	1458	1471
TB1236	S0106-01	99.9195	1450	1471
TB1236	QC-3	99.9194	1458	1471
TB1236	mada_105	99.9174	1449	1471
TB1236	mada_1-50	99.9173	1450	1471
TB1236	R20896	99.9171	1449	1471
TB1236	R30396	99.9168	1450	1471
TB1236	N0004	99.9161	1456	1471
TB1236	mada_2-31	99.9154	1459	1471
TB1236	mada_1-53	99.9151	1451	1471
TB1236	mada_2-53	99.9145	1452	1471
TB1236	mada_2-1	99.9134	1454	1471
TB1236	mada_1-32	99.9132	1453	1471
TB1236	M0017522_5	99.9127	1457	1471
TB1236	R21839	99.912	1453	1471
TB1236	mada_1-15	99.9119	1454	1471
TB1236	mada_1-12	99.9111	1454	1471
TB1236	M0014888_3	99.9108	1446	1471
TB1236	mada_2-25	99.9107	1453	1471
TB1236	mada_139	99.9106	1452	1471
TB1236	R21363	99.9106	1455	1471
TB1236	mada_1-41	99.9106	1461	1471
TB1236	mada_1-30	99.9105	1456	1471
TB1236	mada_103	99.9101	1448	1471
TB1236	N0054	99.9099	1459	1471
TB1236	M0011368_9	99.9091	1457	1471
TB1236	01_R1134	99.9089	1458	1471
TB1236	R15311	99.9086	1455	1471
TB1236	02_R1708	99.9086	1455	1471
TB1236	mada_1-38	99.9085	1454	1471
TB1236	mada_112	99.9078	1456	1471
TB1236	R23571	99.9078	1453	1471
TB1236	QC-10	99.9072	1452	1471
TB1236	mada_123	99.9071	1451	1471
TB1236	TB2968	99.907	1455	1471
TB1236	mada_120	99.9064	1443	1471
TB1236	QC-4	99.9064	1453	1471
TB1236	TB3334	99.9063	1459	1471
TB1236	M0016395_7	99.9062	1456	1471
TB1236	mada_128	99.9055	1454	1471
TB1236	R21770	99.9053	1456	1471
TB1236	M0010874_7	99.9046	1448	1471
TB1236	mada_126	99.9045	1444	1471
TB1236	QC-8	99.9044	1454	1471
TB1236	mada_124	99.9044	1456	1471
TB1236	02_R1896	99.9044	1455	1471
TB1236	M0016737_0	99.9034	1456	1471
TB1236	TB3162	99.9032	1452	1471
TB1236	MT_0080	99.9027	1457	1471
TB1236	01_R1430	99.9022	1458	1471
TB1236	S0123-01	99.9017	1456	1471
TB1236	S0262-02	99.9017	1456	1471
TB1236	TB3237	99.9015	1458	1471
TB1236	TB2661	99.9012	1454	1471
TB1236	QC-7	99.9011	1453	1471
TB1236	mada_129	99.9004	1454	1471
TB1236	TB3386	99.8998	1455	1471
TB1236	mada_151	99.8998	1450	1471
TB1236	TB3169	99.8989	1450	1471
TB1236	mada_102	99.8989	1454	1471
TB1236	02_R0894	99.8987	1455	1471
TB1236	TB3054	99.8985	1460	1471
TB1236	02_R1179	99.8984	1453	1471
TB1236	QC-6	99.8978	1451	1471
TB1236	TB3251	99.8963	1459	1471
TB1236	QC-1	99.8913	1452	1471
TB1236	R27252	99.8817	1450	1471
TB1236	N0153	99.8817	1445	1471
TB1236	N1177	99.8734	1443	1471
TB1236	N0072	99.871	1450	1471
TB1236	R23887	99.8685	1451	1471
TB1236	N1176	99.8673	1453	1471
TB1236	N1202	99.8622	1447	1471
TB1236	mada_122	99.862	1451	1471
TB1236	mada_1-1	99.8615	1453	1471
TB1236	N0091	99.8611	1443	1471
TB1236	mada_1-36	99.8603	1451	1471
TB1236	mada_118	99.8602	1452	1471
TB1236	N1272	99.8588	1458	1471
TB1236	RW-TB008	99.8575	1444	1471
TB1236	mada_1-44	99.8569	1451	1471
TB1236	mada_107	99.8551	1455	1471
TB1236	mada_1-10	99.8507	1458	1471
TB1236	mada_1-39	99.8496	1451	1471
TB1236	mada_1-51	99.8477	1456	1471
TB1236	mada_2-46	99.8443	1453	1471
TB1236	mada_117	99.8442	1454	1471
TB2659	TB2659	100.0	1471	1471
TB2659	TB1236	99.9972	1470	1471
TB2659	TB2780	99.9859	1470	1471
TB2659	TB3368	99.9855	1467	1471
TB2659	TB3113	99.9845	1468	1471
TB2659	R30215	99.9844	1470	1471
TB2659	TB2512	99.9842	1469	1471
TB2659	TB2981	99.984	1470	1471
TB2659	R36431	99.9839	1470	1471
TB2659	TB3396	99.9839	1468	1471
TB2659	TB3091	99.9838	1469	1471
TB2659	S0070-08	99.9837	1471	1471
TB2659	8129-04	99.9836	1470	1471
TB2659	TB2995	99.9835	1469	1471
TB2659	R30234	99.9835	1470	1471
TB2659	R31095	99.9834	1470	1471
TB2659	R25048	99.9833	1468	1471
TB2659	R24120	99.9832	1470	1471
TB2659	R30078	99.9832	1470	1471
TB2659	R29816	99.9832	1470	1471
TB2659	R28012	99.9832	1470	1471
TB2659	R27657	99.9832	1470	1471
TB2659	R37765	99.9827	1467	1471
TB2659	9050-05	99.9822	1468	1471
TB2659	3003-06	99.9821	1469	1471
TB2659	696-05	99.9819	1467	1471
TB2659	TB1612	99.9819	1467	1471
TB2659	702-06	99.9816	1469	1471
TB2659	M0003941_3	99.9813	1470	1471
TB2659	R28703	99.9806	1471	1471
TB2659	8651-04	99.9806	1467	1471
TB2659	4549-04	99.9803	1465	1471
TB2659	N0155	99.98	1470	1471
TB2659	18_0621851	99.9791	1467	1471
TB2659	S0107-01	99.979	1467	1471
TB2659	S0089-01	99.9783	1468	1471
TB2659	mada_115	99.9783	1468	1471
TB2659	706-05	99.9781	1469	1471
TB2659	R24100	99.9774	1467	1471
TB2659	R28581	99.9769	1467	1471
TB2659	N0145	99.9766	1469	1471
TB2659	R29598	99.9761	1468	1471
TB2659	mada_2-42	99.976	1470	1471
TB2659	S0085-01	99.9753	1470	1471
TB2659	mada_1-11	99.9752	1469	1471
TB2659	S0256-08	99.9712	1467	1471
TB2659	R20260	99.956	1459	1471
TB2659	R20574	99.956	1459	1471
TB2659	R21408	99.9556	1459	1471
TB2659	R26791	99.9545	1458	1471
TB2659	R27725	99.9544	1459	1471
TB2659	R30420	99.9516	1461	1471
TB2659	R28980	99.9503	1460	1471
TB2659	R23146	99.948	1460	1471
TB2659	R32929	99.9451	1460	1471
TB2659	R21893	99.9448	1463	1471
TB2659	R18040	99.9363	1463	1471
TB2659	R27937	99.9362	1463	1471
TB2659	R18043	99.9361	1463	1471
TB2659	R22601	99.9359	1463	1471
TB2659	R26778	99.9357	1464	1471
TB2659	QC-5	99.9241	1455	1471
TB2659	QC-3	99.924	1454	1471
TB2659	QC-9	99.9235	1454	1471
TB2659	N1274	99.922	1459	1471
TB2659	S0106-01	99.9205	1451	1471
TB2659	R20896	99.9182	1450	1471
TB2659	N0004	99.9182	1455	1471
TB2659	mada_105	99.9172	1447	1471
TB2659	01_R1134	99.9163	1455	1471
TB2659	mada_1-38	99.9161	1453	1471
TB2659	R30396	99.9159	1451	1471
TB2659	R21363	99.9158	1453	1471
TB2659	M0011368_9	99.9156	1453	1471
