run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	instrument_model	nominal_length	library_layout	read_count	base_count	study_alias	fastq_bytes	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	bam_ftp
SRR22859796	SAMN32360953	SRX18818443	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1633954	493454108	PRJNA914892	141203398;142800028	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/096/SRR22859796/SRR22859796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/096/SRR22859796/SRR22859796_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/096/SRR22859796	C900	
SRR22859797	SAMN32360952	SRX18818442	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1674976	505842752	PRJNA914892	145061061;146576507	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/097/SRR22859797/SRR22859797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/097/SRR22859797/SRR22859797_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/097/SRR22859797	C862	
SRR22859801	SAMN32360947	SRX18818783	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1266717	382548534	PRJNA914892	111436219;108582077	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/001/SRR22859801/SRR22859801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/001/SRR22859801/SRR22859801_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/001/SRR22859801	C887	
SRR22859802	SAMN32360926	SRX18818782	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	2616751	790258802	PRJNA914892	229323745;233516448	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/002/SRR22859802/SRR22859802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/002/SRR22859802/SRR22859802_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/002/SRR22859802	C301	
SRR22859812	SAMN32360829	SRX18818772	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	11125	84009498	PRJNA914892	76890862	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/012/SRR22859812/SRR22859812_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/012/SRR22859812	C85	
SRR22859818	SAMN32360911	SRX18818766	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	2477090	748081180	PRJNA914892	215978627;220617019	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/018/SRR22859818/SRR22859818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/018/SRR22859818/SRR22859818_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/018/SRR22859818	C239	
SRR22859819	SAMN32360910	SRX18818765	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	2609860	788177720	PRJNA914892	227873593;233353902	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/019/SRR22859819/SRR22859819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/019/SRR22859819/SRR22859819_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/019/SRR22859819	C236	
SRR22859826	SAMN32360859	SRX18818757	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	852198	257363796	PRJNA914892	80452769;88540273	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/026/SRR22859826/SRR22859826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/026/SRR22859826/SRR22859826_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/026/SRR22859826	C24	
SRR22859704	SAMN32360805	SRX18818533	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	23313	159238054	PRJNA914892	146106838	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/004/SRR22859704/SRR22859704_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/004/SRR22859704	C142	
SRR22859828	SAMN32360857	SRX18818755	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1602546	483968892	PRJNA914892	143913726;144945509	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/028/SRR22859828/SRR22859828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/028/SRR22859828/SRR22859828_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/028/SRR22859828	C113	
SRR22859706	SAMN32360848	SRX18818531	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	32295	74895266	PRJNA914892	68700795	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/006/SRR22859706/SRR22859706_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/006/SRR22859706	C320	
SRR22859701	SAMN32360852	SRX18818536	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	20116	71575647	PRJNA914892	65477235	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/001/SRR22859701/SRR22859701_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/001/SRR22859701	C79	
SRR22859834	SAMN32360852	SRX18818749	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1721360	519850720	PRJNA914892	153383758;153852714	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/034/SRR22859834/SRR22859834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/034/SRR22859834/SRR22859834_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/034/SRR22859834	C79	
SRR22859711	SAMN32360843	SRX18818526	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	82450	422230163	PRJNA914892	399794237	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/011/SRR22859711/SRR22859711_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/011/SRR22859711	C224	
SRR22859705	SAMN32360849	SRX18818532	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	52591	205558196	PRJNA914892	188226892	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/005/SRR22859705/SRR22859705_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/005/SRR22859705	C235	
SRR22859707	SAMN32360847	SRX18818530	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	27679	107753258	PRJNA914892	101615754	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/007/SRR22859707/SRR22859707_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/007/SRR22859707	C364	
SRR22859835	SAMN32360851	SRX18818748	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1519767	458969634	PRJNA914892	137349120;138340771	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/035/SRR22859835/SRR22859835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/035/SRR22859835/SRR22859835_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/035/SRR22859835	C148	
SRR22859715	SAMN32360804	SRX18818522	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	29580	133021412	PRJNA914892	122489832	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/015/SRR22859715/SRR22859715_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/015/SRR22859715	C137	
SRR22859709	SAMN32360845	SRX18818528	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	43370	112979357	PRJNA914892	103625300	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/009/SRR22859709/SRR22859709_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/009/SRR22859709	C241	
SRR22859837	SAMN32360849	SRX18818746	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1555028	469618456	PRJNA914892	140975656;142431210	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/037/SRR22859837/SRR22859837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/037/SRR22859837/SRR22859837_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/037/SRR22859837	C235	
SRR22859716	SAMN32360839	SRX18818521	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	18675	56310709	PRJNA914892	51697340	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/016/SRR22859716/SRR22859716_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/016/SRR22859716	C3	
SRR22859710	SAMN32360844	SRX18818527	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	80687	231140975	PRJNA914892	211653049	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/010/SRR22859710/SRR22859710_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/010/SRR22859710	C222	
SRR22859718	SAMN32360837	SRX18818519	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	29661	91154661	PRJNA914892	83669718	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/018/SRR22859718/SRR22859718_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/018/SRR22859718	C52	
SRR22859720	SAMN32360835	SRX18818517	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	29514	104479087	PRJNA914892	95703000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/020/SRR22859720/SRR22859720_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/020/SRR22859720	C80	
SRR22859717	SAMN32360838	SRX18818520	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	14290	44322356	PRJNA914892	40576828	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/017/SRR22859717/SRR22859717_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/017/SRR22859717	C9	
SRR22859838	SAMN32360848	SRX18818745	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1535610	463754220	PRJNA914892	140300910;141824275	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/038/SRR22859838/SRR22859838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/038/SRR22859838/SRR22859838_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/038/SRR22859838	C320	
SRR22859724	SAMN32360969	SRX18818513	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1687573	509647046	PRJNA914892	146923748;152376246	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/024/SRR22859724/SRR22859724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/024/SRR22859724/SRR22859724_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/024/SRR22859724	C247	
SRR22859721	SAMN32360972	SRX18818516	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1972058	595561516	PRJNA914892	173185404;176414753	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/021/SRR22859721/SRR22859721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/021/SRR22859721/SRR22859721_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/021/SRR22859721	C347	
SRR22859730	SAMN32360877	SRX18818507	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1506927	455091954	PRJNA914892	135850933;136997350	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/030/SRR22859730/SRR22859730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/030/SRR22859730/SRR22859730_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/030/SRR22859730	C206	
SRR22859723	SAMN32360970	SRX18818514	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1867226	563902252	PRJNA914892	160952767;166916391	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/023/SRR22859723/SRR22859723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/023/SRR22859723/SRR22859723_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/023/SRR22859723	C272	
