Category	Range	GeneCount	Annotation	Method	SeqType	DataSet	MethodAndTech	MethodAndTechAndAnno	AnnoAndTech	PangenomeTool
Total genes	(0% <= strains <= 100%)	13312	Bakta	Roary_NoSplitParalogs_I80	LongRead	All	Roary_NoSplitParalogs_I80_LongRead	Roary_NoSplitParalogs_I80_LongRead_Bakta	Bakta-LongRead	Roary
Accessory genes	(0% <= strains < 99%)	10277	Bakta	Roary_NoSplitParalogs_I80	LongRead	All	Roary_NoSplitParalogs_I80_LongRead	Roary_NoSplitParalogs_I80_LongRead_Bakta	Bakta-LongRead	Roary
Core genes	(99% <= strains <= 100%)	2915	Bakta	Roary_NoSplitParalogs_I90	LongRead	All	Roary_NoSplitParalogs_I90_LongRead	Roary_NoSplitParalogs_I90_LongRead_Bakta	Bakta-LongRead	Roary
Total genes	(0% <= strains <= 100%)	14851	Bakta	Roary_NoSplitParalogs_I90	LongRead	All	Roary_NoSplitParalogs_I90_LongRead	Roary_NoSplitParalogs_I90_LongRead_Bakta	Bakta-LongRead	Roary
Accessory genes	(0% <= strains < 99%)	11936	Bakta	Roary_NoSplitParalogs_I90	LongRead	All	Roary_NoSplitParalogs_I90_LongRead	Roary_NoSplitParalogs_I90_LongRead_Bakta	Bakta-LongRead	Roary
Core genes	(99% <= strains <= 100%)	2484	Bakta	Roary_NoSplitParalogs	LongRead	All	Roary_NoSplitParalogs_LongRead	Roary_NoSplitParalogs_LongRead_Bakta	Bakta-LongRead	Roary
Total genes	(0% <= strains <= 100%)	17783	Bakta	Roary_NoSplitParalogs	LongRead	All	Roary_NoSplitParalogs_LongRead	Roary_NoSplitParalogs_LongRead_Bakta	Bakta-LongRead	Roary
Accessory genes	(0% <= strains < 99%)	15299	Bakta	Roary_NoSplitParalogs	LongRead	All	Roary_NoSplitParalogs_LongRead	Roary_NoSplitParalogs_LongRead_Bakta	Bakta-LongRead	Roary
Core genes	(99% <= strains <= 100%)	2394	Bakta	Roary_Default	LongRead	All	Roary_Default_LongRead	Roary_Default_LongRead_Bakta	Bakta-LongRead	Roary
Total genes	(0% <= strains <= 100%)	21400	Bakta	Roary_Default	LongRead	All	Roary_Default_LongRead	Roary_Default_LongRead_Bakta	Bakta-LongRead	Roary
Accessory genes	(0% <= strains < 99%)	19006	Bakta	Roary_Default	LongRead	All	Roary_Default_LongRead	Roary_Default_LongRead_Bakta	Bakta-LongRead	Roary
Core genes	(99% <= strains <= 100%)	2834	Bakta	Panaroo_Strict_MergeParalogs	ShortRead	All	Panaroo_Strict_MergeParalogs_ShortRead	Panaroo_Strict_MergeParalogs_ShortRead_Bakta	Bakta-ShortRead	Panaroo
Total genes	(0% <= strains <= 100%)	12836	Bakta	Panaroo_Strict_MergeParalogs	ShortRead	All	Panaroo_Strict_MergeParalogs_ShortRead	Panaroo_Strict_MergeParalogs_ShortRead_Bakta	Bakta-ShortRead	Panaroo
Accessory genes	(0% <= strains < 99%)	10002	Bakta	Panaroo_Strict_MergeParalogs	ShortRead	All	Panaroo_Strict_MergeParalogs_ShortRead	Panaroo_Strict_MergeParalogs_ShortRead_Bakta	Bakta-ShortRead	Panaroo
Core genes	(99% <= strains <= 100%)	2834	Bakta	Panaroo_Moderate_MergeParalogs	ShortRead	All	Panaroo_Moderate_MergeParalogs_ShortRead	Panaroo_Moderate_MergeParalogs_ShortRead_Bakta	Bakta-ShortRead	Panaroo
Total genes	(0% <= strains <= 100%)	13462	Bakta	Panaroo_Moderate_MergeParalogs	ShortRead	All	Panaroo_Moderate_MergeParalogs_ShortRead	Panaroo_Moderate_MergeParalogs_ShortRead_Bakta	Bakta-ShortRead	Panaroo
Accessory genes	(0% <= strains < 99%)	10628	Bakta	Panaroo_Moderate_MergeParalogs	ShortRead	All	Panaroo_Moderate_MergeParalogs_ShortRead	Panaroo_Moderate_MergeParalogs_ShortRead_Bakta	Bakta-ShortRead	Panaroo
Core genes	(99% <= strains <= 100%)	2834	Bakta	Panaroo_Sensitive_MergeParalogs	ShortRead	All	Panaroo_Sensitive_MergeParalogs_ShortRead	Panaroo_Sensitive_MergeParalogs_ShortRead_Bakta	Bakta-ShortRead	Panaroo
Total genes	(0% <= strains <= 100%)	15524	Bakta	Panaroo_Sensitive_MergeParalogs	ShortRead	All	Panaroo_Sensitive_MergeParalogs_ShortRead	Panaroo_Sensitive_MergeParalogs_ShortRead_Bakta	Bakta-ShortRead	Panaroo
Accessory genes	(0% <= strains < 99%)	12690	Bakta	Panaroo_Sensitive_MergeParalogs	ShortRead	All	Panaroo_Sensitive_MergeParalogs_ShortRead	Panaroo_Sensitive_MergeParalogs_ShortRead_Bakta	Bakta-ShortRead	Panaroo
Core genes	(99% <= strains <= 100%)	2825	Bakta	Roary_NoSplitParalogs_I80	ShortRead	All	Roary_NoSplitParalogs_I80_ShortRead	Roary_NoSplitParalogs_I80_ShortRead_Bakta	Bakta-ShortRead	Roary
Total genes	(0% <= strains <= 100%)	13420	Bakta	Roary_NoSplitParalogs_I80	ShortRead	All	Roary_NoSplitParalogs_I80_ShortRead	Roary_NoSplitParalogs_I80_ShortRead_Bakta	Bakta-ShortRead	Roary
Accessory genes	(0% <= strains < 99%)	10595	Bakta	Roary_NoSplitParalogs_I80	ShortRead	All	Roary_NoSplitParalogs_I80_ShortRead	Roary_NoSplitParalogs_I80_ShortRead_Bakta	Bakta-ShortRead	Roary
Core genes	(99% <= strains <= 100%)	2711	Bakta	Roary_NoSplitParalogs_I90	ShortRead	All	Roary_NoSplitParalogs_I90_ShortRead	Roary_NoSplitParalogs_I90_ShortRead_Bakta	Bakta-ShortRead	Roary
Total genes	(0% <= strains <= 100%)	14933	Bakta	Roary_NoSplitParalogs_I90	ShortRead	All	Roary_NoSplitParalogs_I90_ShortRead	Roary_NoSplitParalogs_I90_ShortRead_Bakta	Bakta-ShortRead	Roary
Accessory genes	(0% <= strains < 99%)	12222	Bakta	Roary_NoSplitParalogs_I90	ShortRead	All	Roary_NoSplitParalogs_I90_ShortRead	Roary_NoSplitParalogs_I90_ShortRead_Bakta	Bakta-ShortRead	Roary
Core genes	(99% <= strains <= 100%)	2314	Bakta	Roary_NoSplitParalogs	ShortRead	All	Roary_NoSplitParalogs_ShortRead	Roary_NoSplitParalogs_ShortRead_Bakta	Bakta-ShortRead	Roary
Total genes	(0% <= strains <= 100%)	17825	Bakta	Roary_NoSplitParalogs	ShortRead	All	Roary_NoSplitParalogs_ShortRead	Roary_NoSplitParalogs_ShortRead_Bakta	Bakta-ShortRead	Roary
Accessory genes	(0% <= strains < 99%)	15511	Bakta	Roary_NoSplitParalogs	ShortRead	All	Roary_NoSplitParalogs_ShortRead	Roary_NoSplitParalogs_ShortRead_Bakta	Bakta-ShortRead	Roary
Core genes	(99% <= strains <= 100%)	2234	Bakta	Roary_Default	ShortRead	All	Roary_Default_ShortRead	Roary_Default_ShortRead_Bakta	Bakta-ShortRead	Roary
Total genes	(0% <= strains <= 100%)	19721	Bakta	Roary_Default	ShortRead	All	Roary_Default_ShortRead	Roary_Default_ShortRead_Bakta	Bakta-ShortRead	Roary
Accessory genes	(0% <= strains < 99%)	17487	Bakta	Roary_Default	ShortRead	All	Roary_Default_ShortRead	Roary_Default_ShortRead_Bakta	Bakta-ShortRead	Roary
