study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	read_count	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_md5	fastq_ftp	sample_alias
PRJNA720906	SAMN18521337	SRX10563656	SRR14196824	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	QC-8_SR	PAIRED	WGS	GENOMIC	RANDOM	1922556	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-8_SR	QC-8.R1.fastq	36b25bb19032d353b5c2c1c3278841da;e91bba4c02d1758901a57955306d459a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/024/SRR14196824/SRR14196824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/024/SRR14196824/SRR14196824_2.fastq.gz	QC-8
PRJNA720906	SAMN18521336	SRX10563655	SRR14196825	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	QC-7_LR	SINGLE	WGS	GENOMIC	RANDOM	123338	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-7_LR	QC-7.fastq	0c285cb8c82ae49f9066b6b9cd5b9d46	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/025/SRR14196825/SRR14196825_1.fastq.gz	QC-7
PRJNA720906	SAMN18521336	SRX10563654	SRR14196826	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	QC-7_SR	PAIRED	WGS	GENOMIC	RANDOM	1928810	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-7_SR	QC-7.R1.fastq	94da6692f93637c69ae88763c99b7caf;e32b1aabf3891044ea70bf804281381f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/026/SRR14196826/SRR14196826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/026/SRR14196826/SRR14196826_2.fastq.gz	QC-7
PRJNA720906	SAMN18521335	SRX10563653	SRR14196827	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	QC-6_LR	SINGLE	WGS	GENOMIC	RANDOM	75453	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-6_LR	QC-6.fastq	1ae0735c7327f06715df7911af1dd4ab	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/027/SRR14196827/SRR14196827_1.fastq.gz	QC-6
PRJNA720906	SAMN18521335	SRX10563652	SRR14196828	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	QC-6_SR	PAIRED	WGS	GENOMIC	RANDOM	1622324	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-6_SR	QC-6.R1.fastq	92fc2aa78a8144441a12a3c09fdf376f;4931f67b31a038714c4700a798481656	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/028/SRR14196828/SRR14196828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/028/SRR14196828/SRR14196828_2.fastq.gz	QC-6
PRJNA720906	SAMN18521317	SRX10563651	SRR14196829	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	8644-04_SR	PAIRED	WGS	GENOMIC	RANDOM	2191299	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	8644-04_SR	8644-04.R1.fastq	e6184b5d029e43e4cfd42f0dd6bdcb42;a35ecc6bd9229d9d5058a0e63522276c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/029/SRR14196829/SRR14196829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/029/SRR14196829/SRR14196829_2.fastq.gz	8644-04
PRJNA720906	SAMN18521334	SRX10563650	SRR14196830	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	QC-5_LR	SINGLE	WGS	GENOMIC	RANDOM	252169	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-5_LR	QC-5.fastq	6712229a8669927815a5d6c53caa231d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/030/SRR14196830/SRR14196830_1.fastq.gz	QC-5
PRJNA720906	SAMN18521334	SRX10563649	SRR14196831	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	QC-5_SR	PAIRED	WGS	GENOMIC	RANDOM	1671281	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-5_SR	QC-5.R1.fastq	76d17480152df7f7012ab18ec0a70cf1;b1a96f36fd5c6cc9e93603504da24e59	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/031/SRR14196831/SRR14196831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/031/SRR14196831/SRR14196831_2.fastq.gz	QC-5
PRJNA720906	SAMN18521333	SRX10563648	SRR14196832	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	QC-4_LR	SINGLE	WGS	GENOMIC	RANDOM	142912	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-4_LR	QC-4.fastq	40c969d5d8b1cc4c081a7ef35f3aa75c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/032/SRR14196832/SRR14196832_1.fastq.gz	QC-4
PRJNA720906	SAMN18521333	SRX10563647	SRR14196833	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	QC-4_SR	PAIRED	WGS	GENOMIC	RANDOM	1911139	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-4_SR	QC-4.R1.fastq	033563ad31d11a79ce685d56ba9a7c6b;92bbee7b647414a2f70f04732e8c10db	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/033/SRR14196833/SRR14196833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/033/SRR14196833/SRR14196833_2.fastq.gz	QC-4
PRJNA720906	SAMN18521332	SRX10563646	SRR14196834	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	QC-3_LR	SINGLE	WGS	GENOMIC	RANDOM	165867	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-3_LR	QC-3.fastq	5c3f2e677d629f6967d957db4595f4d2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/034/SRR14196834/SRR14196834_1.fastq.gz	QC-3
PRJNA720906	SAMN18521332	SRX10563645	SRR14196835	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	QC-3_SR	PAIRED	WGS	GENOMIC	RANDOM	1934321	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-3_SR	QC-3.R1.fastq	c27506d2aee345bc552103ca1aae9d0b;cbf571147624ed7b15ef7d2b16f367f6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/035/SRR14196835/SRR14196835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/035/SRR14196835/SRR14196835_2.fastq.gz	QC-3
PRJNA720906	SAMN18521330	SRX10563642	SRR14196838	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	QC-1_LR	SINGLE	WGS	GENOMIC	RANDOM	108258	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-1_LR	QC-1.fastq	ee11ae263ff0103629d6ee2537508f93	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/038/SRR14196838/SRR14196838_1.fastq.gz	QC-1
PRJNA720906	SAMN18521330	SRX10563641	SRR14196839	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	QC-1_SR	PAIRED	WGS	GENOMIC	RANDOM	1703872	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-1_SR	QC-1.R1.fastq	fa82e45aa79ef82b7ad9b173716e78ad;bf7a17b8f32f56bc595ff219641ab23c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/039/SRR14196839/SRR14196839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/039/SRR14196839/SRR14196839_2.fastq.gz	QC-1
PRJNA720906	SAMN18521316	SRX10563640	SRR14196840	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	GridION	8129-04_LR	SINGLE	WGS	GENOMIC	RANDOM	1205625	GridION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	8129-04_LR	8129-04.fastq	54822649d9ce789271cafd51a4572293	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/040/SRR14196840/SRR14196840_1.fastq.gz	8129-04
PRJNA720906	SAMN18521329	SRX10563639	SRR14196841	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	GridION	706-05_LR	SINGLE	WGS	GENOMIC	RANDOM	353587	GridION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	706-05_LR	706-05.fastq	04201e17ac9b575808c4264c8dc48795	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/041/SRR14196841/SRR14196841_1.fastq.gz	706-05
PRJNA720906	SAMN18521329	SRX10563638	SRR14196842	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	706-05_SR	PAIRED	WGS	GENOMIC	RANDOM	2032770	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	706-05_SR	706-05.R1.fastq	47265b0b4e223bee2e8e7de28e7be371;86512e195b9ff285d6207263b654df6f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/042/SRR14196842/SRR14196842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/042/SRR14196842/SRR14196842_2.fastq.gz	706-05
PRJNA720906	SAMN18521328	SRX10563637	SRR14196843	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	GridION	702-06_LR	SINGLE	WGS	GENOMIC	RANDOM	612588	GridION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	702-06_LR	702-06.fastq	6683729ca2b17eb23a6dada999122f02	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/043/SRR14196843/SRR14196843_1.fastq.gz	702-06
PRJNA720906	SAMN18521328	SRX10563636	SRR14196844	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	702-06_SR	PAIRED	WGS	GENOMIC	RANDOM	1932216	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	702-06_SR	702-06.R1.fastq	027380212eb9ce50855bef8cadc3d0d8;ec5ec5dfc5947b4af74668dc56aff29a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/044/SRR14196844/SRR14196844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/044/SRR14196844/SRR14196844_2.fastq.gz	702-06
PRJNA720906	SAMN18521327	SRX10563635	SRR14196845	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	GridION	696-05_LR	SINGLE	WGS	GENOMIC	RANDOM	679859	GridION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	696-05_LR	696-05.fastq	c4cc8afc1efd0efd6ba7c25ccb075f80	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/045/SRR14196845/SRR14196845_1.fastq.gz	696-05
PRJNA720906	SAMN18521327	SRX10563634	SRR14196846	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	696-05_SR	PAIRED	WGS	GENOMIC	RANDOM	2052388	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	696-05_SR	696-05.R1.fastq	d4d95db033e284e06e8a6bfc1b0dc160;743fb0bbe0b7d25c589a407fc7913519	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/046/SRR14196846/SRR14196846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/046/SRR14196846/SRR14196846_2.fastq.gz	696-05
PRJNA720906	SAMN18521326	SRX10563633	SRR14196847	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	674-04_LR	SINGLE	WGS	GENOMIC	RANDOM	1963341	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	674-04_LR	674-04.fastq	fc2682f00f502d16209f334cc8072bce	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/047/SRR14196847/SRR14196847_1.fastq.gz	674-04
PRJNA720906	SAMN18521326	SRX10563632	SRR14196848	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	674-04_SR	PAIRED	WGS	GENOMIC	RANDOM	1927208	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	674-04_SR	674-04.R1.fastq	42f5163235b2ca614dc4636294a537bb;11300b1d20e07a9f7773b65b32c49b77	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/048/SRR14196848/SRR14196848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/048/SRR14196848/SRR14196848_2.fastq.gz	674-04
PRJNA720906	SAMN18521325	SRX10563631	SRR14196849	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	6581-05_LR	SINGLE	WGS	GENOMIC	RANDOM	151142	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	6581-05_LR	6581-05.fastq	a4c05fbda876a91121a897a116fe2c2d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/049/SRR14196849/SRR14196849_1.fastq.gz	6581-05
PRJNA720906	SAMN18521325	SRX10563630	SRR14196850	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	6581-05_SR	PAIRED	WGS	GENOMIC	RANDOM	1833391	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	6581-05_SR	6581-05.R1.fastq	4693d3fc7d11ba18d3f4eb14162d33f4;6e10bced177b33317056d8a11264052a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/050/SRR14196850/SRR14196850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/050/SRR14196850/SRR14196850_2.fastq.gz	6581-05
PRJNA720906	SAMN18521316	SRX10563629	SRR14196851	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	8129-04_SR	PAIRED	WGS	GENOMIC	RANDOM	2007663	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	8129-04_SR	8129-04.R1.fastq	74ac23e5637a92df39fa71d97aab9aa1;b9249f51ab495378e84b366f8e8015ec	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/051/SRR14196851/SRR14196851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/051/SRR14196851/SRR14196851_2.fastq.gz	8129-04
PRJNA720906	SAMN18521324	SRX10563628	SRR14196852	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	GridION	4549-04_LR	SINGLE	WGS	GENOMIC	RANDOM	889434	GridION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	4549-04_LR	4549-04.fastq	482b5c437a8fa5db0a3a2c7842da98c1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/052/SRR14196852/SRR14196852_1.fastq.gz	4549-04
PRJNA720906	SAMN18521324	SRX10563627	SRR14196853	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	4549-04_SR	PAIRED	WGS	GENOMIC	RANDOM	1680992	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	4549-04_SR	4549-04.R1.fastq	1060a3d44feeb2457be9ae78856bdbc3;a91d71dc95f88185be61d5959dffd5c5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/053/SRR14196853/SRR14196853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/053/SRR14196853/SRR14196853_2.fastq.gz	4549-04
PRJNA720906	SAMN18521323	SRX10563626	SRR14196854	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	4536-04_LR	SINGLE	WGS	GENOMIC	RANDOM	2176832	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	4536-04_LR	4536-04.fastq	8c0ae166c70fc23061f5ab204f32e6a7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/054/SRR14196854/SRR14196854_1.fastq.gz	4536-04
PRJNA720906	SAMN18521323	SRX10563625	SRR14196855	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	4536-04_SR	PAIRED	WGS	GENOMIC	RANDOM	2013984	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	4536-04_SR	4536-04.R1.fastq	80a34e9cde2460fb81dce5b4ed0d84fe;497bbe08914c0734a7ab44eac5ec3006	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/055/SRR14196855/SRR14196855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/055/SRR14196855/SRR14196855_2.fastq.gz	4536-04
PRJNA720906	SAMN18521322	SRX10563624	SRR14196856	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	3678-04_LR	SINGLE	WGS	GENOMIC	RANDOM	6140780	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	3678-04_LR	3678-04.fastq	79470878bfe8d31d730b3127040eac90	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/056/SRR14196856/SRR14196856_1.fastq.gz	3678-04
PRJNA720906	SAMN18521322	SRX10563623	SRR14196857	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	3678-04_SR	PAIRED	WGS	GENOMIC	RANDOM	1878640	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	3678-04_SR	3678-04.R1.fastq	380a367bc761cfa1ed17bfaca15f9ffc;7dd0451feaaf07d3a274de221cde05ec	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/057/SRR14196857/SRR14196857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/057/SRR14196857/SRR14196857_2.fastq.gz	3678-04
PRJNA720906	SAMN18521321	SRX10563622	SRR14196858	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	GridION	3003-06_LR	SINGLE	WGS	GENOMIC	RANDOM	1006913	GridION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	3003-06_LR	3003-06.fastq	49db337399c3218efea589162558ceba	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/058/SRR14196858/SRR14196858_1.fastq.gz	3003-06
