Number_SVNodes	TotalLength	SeqLength_UnqToRv	SeqLength_UnqToGraph	Overlap_Genes	NA
1.0	2029	0.0	2029.0	cobL,Rv2073c,Rv2074,Rv2075c	2
2.0	1918	0.0	1876.0	Rv0021c,whiB5,Rv0023	2
2.0	1774	0.0	1773.0	helZ,Rv2102	2
1.0	1749	0.0	1749.0	Rv3485c,Rv3486,lipF	2
1.0	1747	0.0	1747.0	Rv1268c,Rv1269c,lprA	2
2.0	1663	0.0	1657.0	Rv0368c,Rv0369c,Rv0370c	2
6.0	1565	0.0	1564.0	eccD2,Rv3888c	4
3.0	5894	0.0	1557.0	ephA,Rv3618,esxV,esxW,PPE65,PE32,lpqG	3
4.0	4233	0.0	1520.0	Rv2307D,Rv2308	3
1.0	1488	0.0	1488.0	Rv2891,PPE45	2
1.0	1391	0.0	1391.0	Rv1507c,Rv1507A,Rv1508c	2
3.0	1383	0.0	1362.0	lprL,mce2F	3
1.0	1298	0.0	1298.0	echA19,Rv3517	2
1.0	1286	0.0	1286.0	fabD2,Rv0650	2
1.0	1282	0.0	1282.0	Rv0329c,Rv0330c	2
11.0	2489	0.0	1210.0	PE_PGRS22	6
1.0	1204	0.0	1204.0	glnA3,Rv1879	2
1.0	1087	0.0	1087.0	Rv1927,Rv1928c	2
3.0	2497	0.0	1039.0	Rv0221,echA1,Rv0223c	3
13.0	4601	0.0	996.0	Rv3179	7
7.0	1414	0.0	978.0	PE_PGRS44	5
1.0	956	0.0	956.0	Rv0293c,tam	2
1.0	932	0.0	932.0	gmhA,gmhB	2
2.0	989	0.0	922.0	Rv1431,Rv1432	2
1.0	904	0.0	904.0	Rv0064	2
1.0	881	0.0	881.0	Rv2067c,blaC	2
1.0	879	0.0	879.0	Rv3836,Rv3837c	2
1.0	847	0.0	847.0	fadB4,Rv3142c	2
1.0	842	0.0	842.0	Rv3651	2
1.0	813	0.0	813.0	Rv1188,sigI	2
1.0	790	0.0	790.0	Rv1519,Rv1520	2
2.0	757	0.0	756.0	Rv3762c,lpqH	2
1.0	710	0.0	710.0	Rv2262c,Rv2263	2
2.0	648	0.0	647.0	Rv3371	2
16.0	6556	0.0	597.0	esxQ,PPE46	8
7.0	1684	0.0	590.0	PE_PGRS56,fadD18	4
1.0	584	0.0	584.0	arsC,Rv2644c	2
2.0	565	0.0	564.0	Rv0621	2
15.0	2714	0.0	525.0	PE_PGRS13	9
1.0	500	0.0	500.0	Rv2406c,Rv2407	2
1.0	474	0.0	474.0	PE_PGRS27	2
3.0	639	0.0	466.0	PE_PGRS6	3
3.0	450	0.0	450.0	PE_PGRS43	3
1.0	441	0.0	441.0	PE_PGRS43	2
1.0	408	0.0	408.0	Rv2478c	2
2.0	407	0.0	400.0	Rv0484c	2
28.0	2592	0.0	398.0	PE_PGRS55,PE_PGRS56	4
3.0	390	0.0	390.0	PE_PGRS49	3
3.0	385	0.0	385.0	PE_PGRS42	3
8.0	1320	0.0	383.0	PE_PGRS16	5
1.0	377	0.0	377.0	PPE8	2
1.0	376	0.0	376.0	narU	2
3.0	1939	0.0	373.0	Rv3737,PPE66,PPE67	3
12.0	838	0.0	363.0	PE_PGRS38	7
9.0	491	0.0	359.0	PE_PGRS26	6
1.0	349	0.0	349.0	Rv1218c	2
1.0	338	0.0	338.0	fadE6	2
2.0	632	0.0	328.0	PE_PGRS55	2
2.0	616	0.0	299.0	PPE56	2
1.0	294	0.0	294.0	PPE64	2
4.0	490	0.0	285.0	PE_PGRS54	3
1.0	273	0.0	273.0	PE_PGRS26	2
1.0	272	0.0	272.0	Rv2859c	2
14.0	1234	0.0	263.0	PE_PGRS10	9
1.0	256	0.0	256.0	cyp123	2
2.0	431	0.0	244.0	PE_PGRS5	2
1.0	236	0.0	236.0	Rv3329	2
5.0	876	0.0	225.0	PE_PGRS53	4
1.0	214	0.0	214.0	Rv2434c	2
1.0	213	0.0	213.0	PE_PGRS36	2
1.0	213	0.0	213.0	PE_PGRS52	2
1.0	208	0.0	208.0	Rv1544	2
1.0	204	0.0	204.0	PE_PGRS5	2
3.0	216	0.0	201.0	PE_PGRS33	3
1.0	186	0.0	186.0	PE_PGRS3	2
1.0	186	0.0	186.0	PE_PGRS52	2
1.0	180	0.0	180.0	Rv2893	2
1.0	177	0.0	177.0	pcd	2
1.0	174	0.0	174.0	Rv1647	2
3.0	180	0.0	168.0	PE_PGRS54	3
1.0	156	0.0	156.0	PPE8	2
1.0	150	0.0	150.0	PE_PGRS30	2
1.0	150	0.0	150.0	PPE8	2
1.0	147	0.0	147.0	PE_PGRS42	2
1.0	147	0.0	147.0		2
2.0	164	0.0	142.0	PE_PGRS43	2
1.0	135	0.0	135.0	rho	2
1.0	128	0.0	128.0	radA	2
2.0	177	0.0	126.0	PE_PGRS43	2
1.0	126	0.0	126.0	cyp130	2
1.0	120	0.0	120.0	hycD	2
1.0	120	0.0	120.0	Rv0601c	2
1.0	119	0.0	119.0	sppA,Rv0724A,Rv0725c	2
1.0	118	0.0	118.0	furA	2
1.0	114	0.0	114.0	PE_PGRS46	2
1.0	111	0.0	111.0	PE_PGRS7	2
2.0	225	0.0	108.0	PE_PGRS52	2
4.0	131	0.0	105.0	PPE8	2
1.0	105	0.0	105.0	PE_PGRS23	2
1.0	105	0.0	105.0	PE_PGRS25	2
1.0	98	0.0	98.0	Rv1255c,cyp130	2
1.0	98	0.0	98.0	Rv1882c	2
1.0	96	0.0	96.0	PE_PGRS31	2
1.0	96	0.0	96.0	PPE8	2
1.0	96	0.0	96.0	PE_PGRS56	2
1.0	93	0.0	93.0	Rv0338c	2
1.0	90	0.0	90.0	pks13	2
4.0	312	0.0	89.0	Rv1179c	4
1.0	89	0.0	89.0	Rv3785	2
6.0	3200	0.0	88.0	Rv0738,Rv0739,Rv0740,Rv0741,PE_PGRS8	4
1.0	86	0.0	86.0	Rv2885c	2
1.0	86	0.0	86.0	Rv0654	2
1.0	84	0.0	84.0	Rv0393	2
1.0	83	0.0	83.0	PE_PGRS51	2
1.0	83	0.0	83.0	PPE69	2
1.0	81	0.0	81.0	PE_PGRS1	2
1.0	81	0.0	81.0	espK	2
1.0	80	0.0	80.0	Rv1841c	2
1.0	80	0.0	80.0	helZ	2
1.0	80	0.0	80.0	Rv2417c	2
1.0	78	0.0	78.0	PE_PGRS43	2
1.0	78	0.0	78.0	PE_PGRS58	2
1.0	78	0.0	78.0	PE_PGRS7	2
1.0	76	0.0	76.0	deaD	2
1.0	75	0.0	75.0	PE_PGRS43	2
1.0	72	0.0	72.0	PE_PGRS33	2
1.0	72	0.0	72.0	PE_PGRS58	2
1.0	69	0.0	69.0	Rv1157c	2
5.0	2645	0.0	68.0		4
2.0	69	0.0	68.0	Rv3359	2
3.0	120	0.0	66.0	PE_PGRS27	3
1.0	66	0.0	66.0	PE_PGRS15	2
1.0	66	0.0	66.0	PE_PGRS7	2
1.0	65	0.0	65.0	Rv3579c	2
1.0	63	0.0	63.0	PE_PGRS14	2
1.0	63	0.0	63.0	ctpG	2
1.0	61	0.0	61.0	Rv2542	2
1.0	60	0.0	60.0	PPE5	2
1.0	60	0.0	60.0	PPE5	2
1.0	60	0.0	60.0	PPE8	2
1.0	60	0.0	60.0	PPE8	2
1.0	60	0.0	60.0	PPE64	2
1.0	60	0.0	60.0	PPE8	2
1.0	60	0.0	60.0	PPE8	2
1.0	60	0.0	60.0	ctpJ	2
1.0	59	0.0	59.0	Rv3434c	2
1.0	58	0.0	58.0		2
1.0	58	0.0	58.0	Rv2003c	2
1.0	57	0.0	57.0	PE_PGRS16	2
1.0	56	0.0	56.0		2
2.0	221	0.0	55.0	PE_PGRS6	2
1.0	55	0.0	55.0		2
1.0	54	0.0	54.0	PE_PGRS13	2
1.0	54	0.0	54.0	Rv3654c	2
4.0	9290	0.0	53.0	PPE25,PE18,PPE26,PPE27	3
1.0	53	0.0	53.0	fadE22	2
1.0	51	0.0	51.0	espI	2
3.0	126	0.0	42.0	PE_PGRS6	3
5.0	189	0.0	36.0		4
3.0	1391	0.0	33.0		3
4.0	329	0.0	31.0	PE_PGRS52	3
30.0	1412	0.0	0.0		20
22.0	12518	0.0	0.0	Rv0795,Rv0796,Rv0797	10
18.0	3412	0.0	0.0	Rv1752,PPE24	14
16.0	9591	0.0	0.0	Rv2105,Rv2106	7
16.0	1235	0.0	0.0		22
15.0	8530	0.0	0.0	Rv1369c,Rv1370c,Rv1371	7
15.0	1677	0.0	0.0	PE_PGRS53	8
14.0	628	0.0	0.0		14
14.0	872	0.0	0.0	PPE24	16
14.0	6457	0.0	0.0	lppT	7
13.0	648	0.0	0.0		23
13.0	1684	0.0	0.0	PE_PGRS54	7
13.0	953	0.0	0.0		9
12.0	2996	0.0	0.0	Rv0487,Rv0488	7
11.0	479	0.0	0.0		9
11.0	1287	0.0	0.0	leuA	12
10.0	5766	0.0	0.0	Rv1505c,Rv1506c	5
9.0	319	0.0	0.0		8
9.0	530	0.0	0.0	rpfA	3
9.0	4061	0.0	0.0	Rv2015c,Rv2016	3
9.0	913	0.0	0.0	PE_PGRS55	6
8.0	3751	0.0	0.0	Rv1804c	4
8.0	1564	0.0	0.0		5
8.0	266	0.0	0.0		5
8.0	5278	0.0	0.0	PPE49	5
8.0	889	0.0	0.0	Rv3611	9
8.0	288	0.0	0.0		6
8.0	378	0.0	0.0		7
7.0	253	0.0	0.0		5
7.0	3267	0.0	0.0	Rv1319c	4
7.0	229	0.0	0.0	dop	5
7.0	232	0.0	0.0		6
7.0	457	0.0	0.0	Rv3680	6
7.0	3734	0.0	0.0	PPE12,Rv0755A	5
6.0	5532	0.0	0.0	Rv0961,lprP	4
6.0	1480	0.0	0.0		1
6.0	2647	0.0	0.0	Rv1682	4
6.0	3386	0.0	0.0	Rv2015c	4
6.0	2018	0.0	0.0	Rv2286c,yjcE	4
6.0	1536	0.0	0.0		4
6.0	3907	0.0	0.0	Rv3380c,Rv3381c,lytB1	4
6.0	254	0.0	0.0		5
6.0	280	0.0	0.0		3
5.0	1488	0.0	0.0		4
5.0	1612	0.0	0.0	Rv0963c	3
5.0	7125	0.0	0.0	Rv1265,pknH,embR	4
5.0	3635	0.0	0.0	pks9	3
5.0	168	0.0	0.0		3
5.0	160	0.0	0.0		4
5.0	1630	0.0	0.0	Rv2787	3
5.0	323	0.0	0.0	accE5	4
4.0	4526	0.0	0.0	glgA,glgC	3
4.0	3038	0.0	0.0	Rv1503c,Rv1504c	3
4.0	3512	0.0	0.0	Rv1669	3
4.0	3277	0.0	0.0	Rv2267c	3
4.0	4489	0.0	0.0	Rv2885c,Rv2886c	3
4.0	229	0.0	0.0		3
4.0	3478	0.0	0.0	Rv3128c	3
4.0	10647	0.0	0.0	Rv3467	3
4.0	139	0.0	0.0	PE_PGRS55	3
3.0	3477	0.0	0.0		3
3.0	124	0.0	0.0		3
3.0	112	0.0	0.0	Rv1248c	3
3.0	9247	0.0	0.0	Rv1572c,Rv1573,Rv1574,Rv1575,Rv1576c,Rv1577c,Rv1578c,Rv1579c,Rv1580c,Rv1581c,Rv1582c,Rv1583c,Rv1584c,Rv1585c,Rv1586c,Rv1587c	3
3.0	1358	0.0	0.0		3
3.0	212	0.0	0.0		3
3.0	3142	0.0	0.0	mmpL9	3
3.0	110	0.0	0.0		3
3.0	153	0.0	0.0		4
3.0	115	0.0	0.0	Rv2859c	3
3.0	106	0.0	0.0		2
3.0	117	0.0	0.0		3
3.0	1358	0.0	0.0		3
3.0	185	0.0	0.0	PE_PGRS53	3
3.0	114	0.0	0.0		3
3.0	3094	0.0	0.0	tgs2	3
3.0	2894	0.0	0.0	Rv3766	3
3.0	106	0.0	0.0		3
3.0	3200	0.0	0.0	mmpS1	3
3.0	235	0.0	0.0		3
2.0	106	0.0	0.0	mak	3
2.0	171	0.0	0.0	Rv1637c	3
2.0	2670	0.0	0.0	Rv1674c,cmr,Rv1676	2
2.0	1367	0.0	0.0	Rv1724c	2
2.0	1360	0.0	0.0	Rv1733c	2
2.0	2071	0.0	0.0	bglS,mymT	2
2.0	6080	0.0	0.0	pks12	2
2.0	106	0.0	0.0		3
2.0	102	0.0	0.0		3
2.0	234	0.0	0.0	PE_PGRS54	2
2.0	126	0.0	0.0	PE_PGRS55	2
2.0	112	0.0	0.0		3
2.0	180	0.0	0.0	PE_PGRS10	1
1.0	1358	0.0	0.0	Rv0063	2
1.0	72	0.0	0.0	rpfA	2
1.0	1359	0.0	0.0		2
1.0	1358	0.0	0.0	Rv0942	2
1.0	1358	0.0	0.0		2
1.0	93	0.0	0.0	PE_PGRS18	2
1.0	670	0.0	0.0	kdpE	2
1.0	1358	0.0	0.0	Rv1052,Rv1053c	2
1.0	1358	0.0	0.0	PPE16	2
1.0	1359	0.0	0.0	Rv1137c	2
1.0	102	0.0	0.0	Rv1158c	2
1.0	1357	0.0	0.0		2
1.0	9248	0.0	0.0	Rv0094c	2
1.0	153	0.0	0.0	Rv1288	2
1.0	56	0.0	0.0	Rv1290c	2
1.0	57	0.0	0.0		2
1.0	1358	0.0	0.0		2
1.0	1358	0.0	0.0	Rv1360	2
1.0	1358	0.0	0.0		2
1.0	1358	0.0	0.0		2
1.0	423	0.0	0.0	PE_PGRS27	2
1.0	207	0.0	0.0	PE_PGRS27	2
1.0	72	0.0	0.0	PE_PGRS27	2
1.0	116	0.0	0.0	PE_PGRS27	2
1.0	53	0.0	0.0	Rv1458c	2
1.0	53	0.0	0.0		2
1.0	53	0.0	0.0		2
1.0	120	0.0	0.0	fadE15	2
1.0	1358	0.0	0.0		2
1.0	1358	0.0	0.0	fadD25	2
1.0	1358	0.0	0.0	pks5	2
1.0	110	0.0	0.0	trpE	2
1.0	57	0.0	0.0	Rv1637c	2
1.0	186	0.0	0.0	PE4	2
1.0	2486	0.0	0.0	Rv1671,Rv1672c,Rv1673c,Rv1674c	2
1.0	1358	0.0	0.0		2
1.0	57	0.0	0.0	Rv0175	2
1.0	56	0.0	0.0		2
1.0	56	0.0	0.0		2
1.0	1358	0.0	0.0	Rv1686c	2
1.0	1358	0.0	0.0		2
1.0	1359	0.0	0.0		2
1.0	78	0.0	0.0	PPE24	2
1.0	1358	0.0	0.0	Rv1772	2
1.0	1358	0.0	0.0	cyp144	2
1.0	317	0.0	0.0	Rv0193c	2
1.0	1358	0.0	0.0	Rv1815	2
1.0	77	0.0	0.0	Rv1817	2
1.0	112	0.0	0.0		2
1.0	7369	0.0	0.0	Rv1873	2
1.0	1359	0.0	0.0		2
1.0	1358	0.0	0.0	PPE34	2
1.0	202	0.0	0.0	PPE35	2
1.0	78	0.0	0.0	PPE35	2
1.0	1359	0.0	0.0	Rv1920	2
1.0	1358	0.0	0.0		2
1.0	75	0.0	0.0	nrdB	2
1.0	1359	0.0	0.0	Rv1922	2
1.0	1358	0.0	0.0	Rv1928c	2
1.0	1359	0.0	0.0	Rv1949c	2
1.0	1359	0.0	0.0	Rv1958c	2
1.0	1358	0.0	0.0	Rv2001	2
1.0	1358	0.0	0.0		2
1.0	1358	0.0	0.0		2
1.0	1358	0.0	0.0	Rv2085	2
1.0	57	0.0	0.0	Rv2090	2
1.0	57	0.0	0.0	Rv2090	2
1.0	1358	0.0	0.0		2
1.0	1359	0.0	0.0	PPE36	2
1.0	57	0.0	0.0	dop	2
1.0	1358	0.0	0.0		2
1.0	85	0.0	0.0	PE_PGRS3	2
1.0	1358	0.0	0.0	Rv2167c,Rv2168c	2
1.0	1358	0.0	0.0	Rv2205c	2
1.0	1358	0.0	0.0		2
1.0	1361	0.0	0.0	Rv2307B	2
1.0	952	0.0	0.0	Rv2319c	2
1.0	1358	0.0	0.0	PE23	2
1.0	1357	0.0	0.0	Rv2336	2
1.0	1358	0.0	0.0	Rv2337c	2
1.0	1443	0.0	0.0	moeW	2
1.0	1358	0.0	0.0	rpfD	2
1.0	1358	0.0	0.0	Rv2390c	2
1.0	54	0.0	0.0	che1	2
1.0	1458	0.0	0.0		2
1.0	57	0.0	0.0		2
1.0	57	0.0	0.0		2
1.0	85	0.0	0.0		2
1.0	1358	0.0	0.0	Rv2435c	2
1.0	1358	0.0	0.0	Rv2435c	2
1.0	1358	0.0	0.0	Rv2479c,Rv2480c	2
1.0	57	0.0	0.0	PE_PGRS43	2
1.0	246	0.0	0.0	PE_PGRS5	2
1.0	1358	0.0	0.0	Rv2513	2
1.0	656	0.0	0.0	lppB	2
1.0	1358	0.0	0.0	Rv2561	2
1.0	1359	0.0	0.0		2
1.0	480	0.0	0.0	PE_PGRS45	2
1.0	1359	0.0	0.0	Rv2636	2
1.0	1358	0.0	0.0		2
1.0	55	0.0	0.0		2
1.0	204	0.0	0.0		2
1.0	51	0.0	0.0	Rv2680	2
1.0	99	0.0	0.0	sigA	2
1.0	569	0.0	0.0	Rv2705c	2
1.0	1358	0.0	0.0	Rv2735c	2
1.0	1358	0.0	0.0	PE_PGRS47	2
1.0	1359	0.0	0.0	Rv2776c	2
1.0	54	0.0	0.0	Rv2859c	2
1.0	57	0.0	0.0	Rv2879c	2
1.0	57	0.0	0.0	Rv2879c	2
1.0	53	0.0	0.0		2
1.0	56	0.0	0.0		2
1.0	55	0.0	0.0		2
1.0	158	0.0	0.0		2
1.0	1358	0.0	0.0		2
1.0	1358	0.0	0.0		2
1.0	1358	0.0	0.0		2
1.0	56	0.0	0.0		2
1.0	56	0.0	0.0		2
1.0	56	0.0	0.0		2
1.0	1359	0.0	0.0	Rv3008	2
1.0	72	0.0	0.0	Rv3023c	2
1.0	215	0.0	0.0	Rv3055	2
1.0	629	0.0	0.0		2
1.0	459	0.0	0.0	Rv3077	2
1.0	1358	0.0	0.0		2
1.0	1358	0.0	0.0	moaR1	2
1.0	1358	0.0	0.0	moaR1	2
1.0	1358	0.0	0.0	Rv3175	2
1.0	1357	0.0	0.0		2
1.0	1358	0.0	0.0		2
1.0	102	0.0	0.0		2
1.0	56	0.0	0.0		2
1.0	63	0.0	0.0	accE5	2
1.0	1358	0.0	0.0		2
1.0	60	0.0	0.0	PPE54	2
1.0	1358	0.0	0.0	PPE56	2
1.0	1358	0.0	0.0	Rv3377c	2
1.0	1358	0.0	0.0	dxs2	2
1.0	151	0.0	0.0	lytB1	2
1.0	1358	0.0	0.0	idsB	2
1.0	57	0.0	0.0		2
1.0	991	0.0	0.0		2
1.0	57	0.0	0.0		2
1.0	1358	0.0	0.0	Rv3474,Rv3475	2
1.0	55	0.0	0.0	PPE60	2
1.0	56	0.0	0.0		2
1.0	78	0.0	0.0	PE_PGRS53	2
1.0	87	0.0	0.0	PE_PGRS54	2
1.0	90	0.0	0.0	PPE62	2
1.0	111	0.0	0.0	Rv3611,Rv3612c	2
1.0	87	0.0	0.0	Rv0024	2
1.0	1358	0.0	0.0		2
1.0	114	0.0	0.0		2
1.0	1358	0.0	0.0	Rv3750c	2
1.0	1358	0.0	0.0	proX	2
1.0	1358	0.0	0.0		2
1.0	276	0.0	0.0	Rv3819	2
1.0	294	0.0	0.0	Rv3835	2
1.0	1359	0.0	0.0		2
1.0	1358	0.0	0.0		2
1.0	148	0.0	0.0	Rv3861,whiB6	2
1.0	184	0.0	0.0		2
1.0	53	0.0	0.0		2
1.0	51	0.0	0.0	espI	2
1.0	944	0.0	0.0	Rv3900c	2
1.0	1358	0.0	0.0	Rv0395	2
1.0	1358	0.0	0.0	pks6	2
1.0	1357	0.0	0.0	bioF2	2
1.0	77	0.0	0.0		2
1.0	207	0.0	0.0	regX3	2
1.0	58	0.0	0.0		2
1.0	79	0.0	0.0	vapC7	2
1.0	1358	0.0	0.0		2
1.0	174	0.0	0.0		2
1.0	54	0.0	0.0		2
1.0	1358	0.0	0.0		2
1.0	54	0.0	0.0	rpsH	2
1.0	90	0.0	0.0	PE_PGRS10	2
1.0	1358	0.0	0.0		2
