NodeID	SeqLength	Jaccard_Cont_WiRv	Jaccard_Cont_WiIS6110	Jaccard_Cont_WiRv_InsSeqAndPhages	IsSVNode	BubbleID
s102	80	1.0	0.0	0.0	True	BubbleRegion_31
s103	66	1.0	0.0	0.0	True	BubbleRegion_31
s104	30	0.0	0.0	0.0	True	BubbleRegion_31
s105	1	0.0	0.0	0.0	True	BubbleRegion_31
s106	15	0.0	0.0	0.0	True	BubbleRegion_31
s107	36	1.0	0.0	0.0	True	BubbleRegion_31
s108	18641	1.0	0.0	0.0	False	None
s109	956	1.0	0.0	0.0	True	BubbleRegion_32
s110	3492	1.0	0.0	0.0	False	None
s111	246	1.0	0.0	0.0	True	BubbleRegion_33
s112	6	0.0	0.0	0.0	False	None
s113	244	1.0	0.0	0.0	True	BubbleRegion_34
s114	48	1.0	0.0	0.0	False	None
s115	204	1.0	0.0	0.0	True	BubbleRegion_35
s116	4408	1.0	0.0	0.0	False	None
s117	60	1.0	0.0	0.0	True	BubbleRegion_36
s118	3927	1.0	0.0	0.0	False	None
s119	60	1.0	0.0	0.0	True	BubbleRegion_37
s120	2401	1.0	0.0	0.0	False	None
s121	4425	1.0	0.0	0.0	True	BubbleRegion_38
s122	17033	1.0	0.0	0.0	False	None
s123	1282	1.0	0.0	0.0	True	BubbleRegion_39
s124	7298	1.0	0.0	0.2039075399009356	False	None
s125	93	1.0	0.0	0.0	True	BubbleRegion_40
s126	20536	1.0	0.0	0.0	False	None
s127	51	1.0	0.0	0.0	True	BubbleRegion_41
s128	59	1.0	0.0	0.0	False	None
s129	822	1.0	0.0	0.0	False	None
s130	150	1.0	0.0	0.0	True	BubbleRegion_43
s131	77	1.0	0.0	0.0	False	None
s132	34	1.0	0.0	0.0	True	BubbleRegion_44
s133	71	1.0	0.0	0.0	True	BubbleRegion_44
s134	21	0.0	0.0	0.0	True	BubbleRegion_44
s135	25	0.0	0.0	0.0	False	None
s136	60	1.0	0.0	0.0	True	BubbleRegion_45
s137	995	1.0	0.0	0.0	False	None
s138	60	1.0	0.0	0.0	True	BubbleRegion_46
s139	225	1.0	0.0	0.0	False	None
s140	96	1.0	0.0	0.0	True	BubbleRegion_47
s141	192	1.0	0.0	0.0	False	None
s142	156	1.0	0.0	0.0	True	BubbleRegion_48
s143	1080	1.0	0.0	0.0	False	None
s144	60	1.0	0.0	0.0	True	BubbleRegion_49
s145	1447	1.0	0.0	0.0	False	None
s146	60	1.0	0.0	0.0	True	BubbleRegion_50
s147	4480	1.0	0.0	0.0	False	None
s148	377	1.0	0.0	0.0	True	BubbleRegion_51
s149	11020	1.0	0.0	0.0	False	None
s150	1657	1.0	0.0	0.0	True	BubbleRegion_52
s151	6062	1.0	0.0	0.0	False	None
s152	2606	1.0	0.0	0.0	True	BubbleRegion_53
s153	10073	1.0	0.0	0.0	False	None
s154	2249	1.0	0.0	0.0	True	BubbleRegion_54
s155	5138	1.0	0.0	0.12176977290524667	False	None
s156	84	1.0	0.0	1.0	True	BubbleRegion_55
s157	1694	1.0	0.0	0.33653846153846156	False	None
s158	8082	1.0	0.0	0.042101341281669154	False	None
s159	242	1.0	0.0	0.0	True	BubbleRegion_57
s160	889	1.0	0.0	0.0	False	None
s161	748	1.0	0.0	0.0	True	BubbleRegion_58
s162	1682	1.0	0.0	0.0	False	None
s163	73572	1.0	0.0	0.0	False	None
s164	1073	1.0	0.0	0.0	True	BubbleRegion_60
s165	8330	1.0	0.0	0.0	False	None
s166	4	0.0	0.0	0.0	True	BubbleRegion_61
s167	56	1.0	0.0	0.0	True	BubbleRegion_61
s168	13	0.0	0.0	0.0	True	BubbleRegion_61
s169	39	1.0	0.0	0.0	True	BubbleRegion_61
s170	12	0.0	0.0	0.0	False	None
s171	3309	1.0	0.0	0.0	False	None
s172	400	1.0	0.0	0.0	True	BubbleRegion_63
s173	3339	1.0	0.0	0.0	False	None
s174	339	1.0	0.0	0.0	True	BubbleRegion_64
s175	5	0.0	0.0	0.0	True	BubbleRegion_64
s176	36	1.0	0.0	0.0	True	BubbleRegion_64
s177	22	0.0	0.0	0.0	True	BubbleRegion_64
s178	37	1.0	0.0	0.0	True	BubbleRegion_64
s179	16	0.0	0.0	0.0	True	BubbleRegion_64
s180	69	1.0	0.0	0.0	True	BubbleRegion_64
s181	485	1.0	0.0	0.0	True	BubbleRegion_64
s182	2585	1.0	0.0	0.0	False	None
s183	23	0.0	0.0	0.0	False	None
s184	180	1.0	0.0	0.0	True	BubbleRegion_66
s185	17	0.0	0.0	0.0	False	None
s186	14526	1.0	0.0	0.0	False	None
s187	8	0.0	0.0	0.0	False	None
s188	26	0.0	0.0	0.0	True	BubbleRegion_69
s189	54	1.0	0.0	0.0	True	BubbleRegion_69
s190	27822	1.0	0.0	0.053324697754749566	False	None
s191	42	1.0	0.0	0.0	True	BubbleRegion_70
s192	174	1.0	0.0	0.0	False	None
s193	55	1.0	0.0	0.0	True	BubbleRegion_71
s194	11	0.0	0.0	0.0	False	None
s195	349	1.0	0.0	0.0	True	BubbleRegion_72
s196	117	1.0	0.0	0.0	True	BubbleRegion_72
s197	173	1.0	0.0	0.0	True	BubbleRegion_72
s198	35022	1.0	0.0	0.0	False	None
s199	2405	1.0	0.0	0.0	True	BubbleRegion_73
s200	1742	1.0	0.0	0.0	False	None
s201	106	1.0	0.0	0.0	True	BubbleRegion_74
s202	6349	1.0	0.0	0.0	True	BubbleRegion_74
s203	1170	1.0	0.0	0.0	True	BubbleRegion_74
s204	580	1.0	0.0	0.0	True	BubbleRegion_74
s205	1668	1.0	0.0	0.0	False	None
s206	111	1.0	0.0	0.0	True	BubbleRegion_75
s207	275	1.0	0.0	0.0	False	None
s208	78	1.0	0.0	0.0	True	BubbleRegion_76
s209	1648	1.0	0.0	0.0	False	None
s210	66	1.0	0.0	0.0	True	BubbleRegion_77
s211	3984	1.0	0.0	0.0	False	None
s212	874	1.0	0.0	0.0	True	BubbleRegion_78
s213	11796	1.0	0.0	0.0	False	None
s214	33	1.0	0.0	0.0	True	BubbleRegion_79
s215	21	0.0	0.0	0.0	True	BubbleRegion_79
s216	1329	1.0	0.0	0.0	True	BubbleRegion_79
s217	5291	1.0	0.0	0.0	False	None
s218	120	1.0	0.0	0.0	True	BubbleRegion_80
s219	15295	1.0	0.0	0.08474243020055053	False	None
s220	564	1.0	0.0	0.0	True	BubbleRegion_81
s221	27936	1.0	0.0	0.0	False	None
s222	3884	1.0	0.0	0.0	False	None
s223	1286	1.0	0.0	0.0	True	BubbleRegion_83
s224	2756	1.0	0.0	0.0	False	None
s225	86	1.0	0.0	0.0	True	BubbleRegion_84
s226	4626	1.0	0.0	0.0	False	None
s227	79	1.0	0.0	0.0	True	BubbleRegion_85
s228	4057	1.0	0.0	0.0	False	None
s229	8181	1.0	0.0	0.0	False	None
s230	34855	1.0	0.0	0.0	False	None
s231	52	1.0	0.0	0.0	True	BubbleRegion_88
s232	2	0.0	0.0	0.0	True	BubbleRegion_88
s233	10408	1.0	0.0	0.0	False	None
s234	54	1.0	0.0	0.0	True	BubbleRegion_89
s235	16	0.0	0.0	0.0	False	None
s236	4510	1.0	0.0	0.0	False	None
s237	119	1.0	0.0	0.0	True	BubbleRegion_91
s238	12669	1.0	0.0	0.0	False	None
s239	3078	1.0	0.0	0.09350393700787402	True	BubbleRegion_92
s240	31	1.0	0.0	0.0	True	BubbleRegion_92
s241	28	0.0	0.0	0.0	True	BubbleRegion_92
s242	57	1.0	0.0	0.0	True	BubbleRegion_92
s243	5	0.0	0.0	0.0	True	BubbleRegion_92
s244	2646	1.0	0.0	0.0	False	None
s245	43	1.0	0.0	0.0	True	BubbleRegion_93
s246	41	1.0	0.0	0.0	True	BubbleRegion_93
s247	160	1.0	0.0	0.0	True	BubbleRegion_93
s248	7	0.0	0.0	0.0	True	BubbleRegion_93
s249	17	0.0	0.0	0.0	True	BubbleRegion_93
s250	39	1.0	0.0	0.0	True	BubbleRegion_93
s251	52	1.0	0.0	0.0	True	BubbleRegion_93
s252	27	0.0	0.0	0.0	True	BubbleRegion_93
s253	280	1.0	0.0	0.0	True	BubbleRegion_93
s254	53	1.0	0.0	0.0	True	BubbleRegion_93
s255	409	1.0	0.0	0.0	True	BubbleRegion_93
s256	88	1.0	0.0	0.0	True	BubbleRegion_93
s257	177	1.0	0.0	0.0	True	BubbleRegion_93
s258	147	1.0	0.0	0.0	True	BubbleRegion_93
s259	93	1.0	0.0	0.0	True	BubbleRegion_93
s260	150	1.0	0.0	0.0	True	BubbleRegion_93
s261	1036	1.0	0.0	0.0	True	BubbleRegion_93
s262	150	1.0	0.0	0.0	True	BubbleRegion_93
s263	2	0.0	0.0	0.0	True	BubbleRegion_93
s264	84	1.0	0.0	0.0	True	BubbleRegion_93
s265	51	1.0	0.0	0.0	True	BubbleRegion_93
s266	43	1.0	0.0	0.0	True	BubbleRegion_93
s267	1	0.0	0.0	0.0	True	BubbleRegion_93
s268	22	0.0	0.0	0.0	True	BubbleRegion_93
s269	90	1.0	0.0	0.0	False	None
s270	10	0.0	0.0	0.0	False	None
s271	90	1.0	0.0	0.0	True	BubbleRegion_95
s272	314	1.0	0.0	0.0	False	None
s273	140	1.0	0.0	0.0	True	BubbleRegion_96
s274	84	1.0	0.0	0.0	True	BubbleRegion_96
s275	28	0.0	0.0	0.0	True	BubbleRegion_96
s276	113	1.0	0.0	0.0	True	BubbleRegion_96
s277	25	0.0	0.0	0.0	True	BubbleRegion_96
s278	11	0.0	0.0	0.0	True	BubbleRegion_96
s279	48	1.0	0.0	0.0	True	BubbleRegion_96
s280	128	1.0	0.0	0.0	True	BubbleRegion_96
s281	52	1.0	0.0	0.0	True	BubbleRegion_96
s282	71	1.0	0.0	0.0	True	BubbleRegion_96
s283	96	1.0	0.0	0.0	True	BubbleRegion_96
s284	9432	1.0	0.0	0.0	False	None
s285	60	1.0	0.0	0.0	True	BubbleRegion_97
s286	446	1.0	0.0	0.375	True	BubbleRegion_97
s287	946	1.0	0.0	0.0	False	None
s288	7767	1.0	0.0	0.0	False	None
s289	256	1.0	0.0	0.0	True	BubbleRegion_99
s290	29291	1.0	0.0	0.0	False	None
s291	12	0.0	0.0	0.0	True	BubbleRegion_100
s292	104	1.0	0.0	0.0	True	BubbleRegion_100
s293	9	0.0	0.0	0.0	True	BubbleRegion_100
s294	102	1.0	0.0	0.0	True	BubbleRegion_100
s295	4	0.0	0.0	0.0	True	BubbleRegion_100
s296	1355	1.0	0.929811320754717	0.929811320754717	True	BubbleRegion_100
s297	4	0.0	0.0	0.0	True	BubbleRegion_100
s298	71	1.0	0.0	0.8048780487804879	True	BubbleRegion_100
s299	58	1.0	0.0	1.0	True	BubbleRegion_100
s300	572	1.0	0.0	1.0	True	BubbleRegion_100
s301	201	1.0	0.0	1.0	True	BubbleRegion_100
s302	10130	1.0	0.0	0.016930693069306932	False	None
s303	46	1.0	0.0	0.0	True	BubbleRegion_101
s304	16172	1.0	0.0	0.0	False	None
s305	44	1.0	0.0	0.0	True	BubbleRegion_102
s306	14	0.0	0.0	0.0	True	BubbleRegion_102
s307	1057	1.0	0.0	0.0	True	BubbleRegion_102
s308	6802	1.0	0.0	0.038541051388068515	False	None
s309	227	1.0	0.0	0.0	True	BubbleRegion_103
s310	49	1.0	0.0	0.0	True	BubbleRegion_103
s311	6	0.0	0.0	0.0	True	BubbleRegion_103
s312	26	0.0	0.0	0.0	True	BubbleRegion_103
s313	26	0.0	0.0	0.0	True	BubbleRegion_103
s314	183	1.0	0.0	0.0	True	BubbleRegion_103
s315	20	0.0	0.0	0.0	True	BubbleRegion_103
s316	105	1.0	0.0	0.0	True	BubbleRegion_103
s317	793	1.0	0.0	0.0	True	BubbleRegion_103
s318	82	1.0	0.0	0.0	True	BubbleRegion_103
s319	1	0.0	0.0	0.0	True	BubbleRegion_103
s320	128	1.0	0.0	0.0	True	BubbleRegion_103
s321	191	1.0	0.0	0.0	False	None
s322	54	1.0	0.0	0.0	True	BubbleRegion_104
s323	1546	1.0	0.0	0.0	False	None
s324	63	1.0	0.0	0.0	True	BubbleRegion_105
s325	2103	1.0	0.0	0.0	False	None
s326	559	1.0	0.0	0.0	True	BubbleRegion_106
s327	493	1.0	0.0	0.0	True	BubbleRegion_106
s328	2307	1.0	0.0	0.0	True	BubbleRegion_106
s329	1358	1.0	0.0	0.0	False	None
s330	1322	1.0	0.0	0.0	True	BubbleRegion_107
s331	2017	1.0	0.0	0.0	True	BubbleRegion_107
s332	6253	1.0	0.0	0.0	False	None
s333	2830	1.0	0.0	0.10821428571428572	True	BubbleRegion_108
s334	11894	1.0	0.0	0.0	False	None
s335	28	0.0	0.0	0.0	True	BubbleRegion_109
s336	9	0.0	0.0	0.0	True	BubbleRegion_109
s337	53	1.0	0.0	0.0	True	BubbleRegion_109
s338	16	0.0	0.0	0.0	True	BubbleRegion_109
s339	4305	1.0	0.0	0.0	False	None
s340	72	1.0	0.0	0.0	True	BubbleRegion_110
s341	8	0.0	0.0	0.0	False	None
s342	110	1.0	0.0	0.0	True	BubbleRegion_111
s343	23	0.0	0.0	0.0	True	BubbleRegion_111
s344	49	1.0	0.0	0.0	True	BubbleRegion_111
s345	89	1.0	0.0	0.0	True	BubbleRegion_111
s346	6	0.0	0.0	0.0	True	BubbleRegion_111
s347	4085	1.0	0.0	0.0	False	None
s348	66	1.0	0.0	0.0	True	BubbleRegion_112
s349	17410	1.0	0.0	0.0	False	None
s350	40323	1.0	0.0	0.03201548656094111	False	None
s351	68	1.0	0.0	0.0	True	BubbleRegion_114
s352	25532	1.0	0.0	0.08528742843698534	False	None
s353	1211	1.0	0.0	0.0	False	None
s354	142	1.0	0.0	0.0	True	BubbleRegion_116
s355	20337	1.0	0.0	0.0	False	None
s356	631	1.0	0.0	0.0	True	BubbleRegion_117
s357	487	1.0	0.0	0.0	False	None
s358	707	1.0	0.0	0.0	False	None
s359	126	1.0	0.0	0.0	True	BubbleRegion_119
s360	2586	1.0	0.0	0.0	False	None
s361	681	1.0	0.0	0.0	True	BubbleRegion_120
s362	12072	1.0	0.0	0.0	False	None
s363	57	1.0	0.0	0.0	True	BubbleRegion_121
s364	148	1.0	0.0	0.0	False	None
s365	19	0.0	0.0	0.0	True	BubbleRegion_122
s366	136	1.0	0.0	0.0	True	BubbleRegion_122
s367	81	1.0	0.0	0.0	True	BubbleRegion_122
s368	88	1.0	0.0	0.0	True	BubbleRegion_122
s369	53	1.0	0.0	0.0	True	BubbleRegion_122
s370	199	1.0	0.0	0.0	True	BubbleRegion_122
s371	43	1.0	0.0	0.0	True	BubbleRegion_122
s372	1668	1.0	0.0	0.0	False	None
s373	41	1.0	0.0	0.0	True	BubbleRegion_123
s374	115	1.0	0.0	0.0	True	BubbleRegion_123
s375	1793	1.0	0.0	0.0	False	None
s376	93	1.0	0.0	0.0	True	BubbleRegion_124
s377	94	1.0	0.0	0.0	False	None
s378	115	1.0	0.0	0.0	True	BubbleRegion_125
s379	349	1.0	0.0	0.0	False	None
s380	4	0.0	0.0	0.0	True	BubbleRegion_126
s381	52032	1.0	0.0	0.0	False	None
s382	27540	1.0	0.0	0.12511813885859688	False	None
s383	5773	1.0	0.0	0.06790875848859482	False	None
s384	103	1.0	0.0	0.0	True	BubbleRegion_129
s385	1346	1.0	0.0	0.0	True	BubbleRegion_129
s386	5229	1.0	0.0	0.0	True	BubbleRegion_129
s387	54	1.0	0.0	0.0	True	BubbleRegion_129
s388	494	1.0	0.0	0.0	True	BubbleRegion_129
s389	183	1.0	0.0	0.0	True	BubbleRegion_129
s390	346	1.0	0.0	0.0	True	BubbleRegion_129
s391	37	1.0	0.0	0.0	True	BubbleRegion_129
s392	84	1.0	0.0	0.0	True	BubbleRegion_129
s393	101	1.0	0.0	0.0	True	BubbleRegion_129
s394	260	1.0	0.0	0.0	True	BubbleRegion_129
s395	1259	1.0	0.0	0.0	True	BubbleRegion_129
s396	21	0.0	0.0	0.0	True	BubbleRegion_129
s397	82	1.0	0.0	0.0	True	BubbleRegion_129
s398	363	1.0	0.0	0.0	True	BubbleRegion_129
s399	4073	1.0	0.0	0.0	True	BubbleRegion_129
s400	830	1.0	0.0	0.0	True	BubbleRegion_129
s401	795	1.0	0.0	0.0	True	BubbleRegion_129
s402	269	1.0	0.0	0.0	True	BubbleRegion_129
s403	36	1.0	0.0	0.0	True	BubbleRegion_129
s404	1903	1.0	0.0	0.0	True	BubbleRegion_129
s405	210	1.0	0.0	0.0	True	BubbleRegion_129
s406	9074	1.0	0.0	0.0	True	BubbleRegion_129
s407	279	1.0	0.0	0.0	True	BubbleRegion_129
s408	2830	1.0	0.0	0.0	True	BubbleRegion_129
s409	34	1.0	0.0	0.0	True	BubbleRegion_129
s410	66	1.0	0.0	0.0	True	BubbleRegion_129
s411	105	1.0	0.0	0.0	True	BubbleRegion_129
s412	84	1.0	0.0	0.0	True	BubbleRegion_129
s413	14	0.0	0.0	0.0	True	BubbleRegion_129
s414	118	1.0	0.0	0.0	True	BubbleRegion_129
s415	86	1.0	0.0	0.0	True	BubbleRegion_129
s416	106	1.0	0.0	0.0	True	BubbleRegion_129
s417	108	1.0	0.0	0.0	True	BubbleRegion_129
s418	525	1.0	0.0	0.0	True	BubbleRegion_129
s419	41	1.0	0.0	0.0	True	BubbleRegion_129
s420	1799	1.0	0.0	0.0	True	BubbleRegion_129
s421	1677	1.0	0.0	0.0	False	None
s422	287	1.0	0.0	0.0	True	BubbleRegion_130
s423	381	1.0	0.0	0.0	True	BubbleRegion_130
s424	115	1.0	0.0	0.0	True	BubbleRegion_130
s425	76	1.0	0.0	0.0	True	BubbleRegion_130
s426	12	0.0	0.0	0.0	True	BubbleRegion_130
s427	102	1.0	0.0	0.0	True	BubbleRegion_130
s428	65	1.0	0.0	0.0	True	BubbleRegion_130
s429	120	1.0	0.0	0.0	True	BubbleRegion_130
s430	738	1.0	0.0	0.0	True	BubbleRegion_130
s431	44185	1.0	0.0	0.030030574113916884	False	None
s432	2430	1.0	0.0	0.0	False	None
s433	1787	1.0	0.0	0.0	False	None
s434	58	1.0	0.0	0.0	True	BubbleRegion_133
s435	16253	1.0	0.0	0.14284833538840938	False	None
s436	69	1.0	0.0	0.0	True	BubbleRegion_134
s437	918	1.0	0.0	0.0	False	None
s438	102	1.0	0.0	0.0	True	BubbleRegion_135
s439	15618	1.0	0.0	0.0	False	None
s440	5390	1.0	0.0	0.0	False	None
s441	32	1.0	0.0	0.0	True	BubbleRegion_137
s442	30	0.0	0.0	0.0	True	BubbleRegion_137
s443	7482	1.0	0.0	0.0	False	None
s444	89	1.0	0.0	0.0	True	BubbleRegion_138
s445	168	1.0	0.0	0.0	True	BubbleRegion_138
s446	3	0.0	0.0	0.0	True	BubbleRegion_138
s447	18437	1.0	0.0	0.0	False	None
s448	813	1.0	0.0	0.0	True	BubbleRegion_139
s449	8383	1.0	0.0	0.0	False	None
s450	856	1.0	0.0	0.5944309927360775	True	BubbleRegion_140
s451	13099	1.0	0.0	0.053344558395836524	False	None
s452	906	1.0	0.0	0.0	True	BubbleRegion_141
s453	6310	1.0	0.0	0.0	False	None
s454	349	1.0	0.0	0.0	True	BubbleRegion_142
s455	22711	1.0	0.0	0.0	False	None
s456	105	1.0	0.0	0.0	True	BubbleRegion_143
s457	4009	1.0	0.0	0.0	False	None
s458	6703	1.0	0.0	0.0	False	None
s459	2358	1.0	0.0	0.0	True	BubbleRegion_145
s460	2621	1.0	0.0	0.0	False	None
s461	76	1.0	0.0	0.0	True	BubbleRegion_146
s462	2247	1.0	0.0	0.0	False	None
s463	98	1.0	0.0	0.0	True	BubbleRegion_147
s464	889	1.0	0.0	0.0	False	None
s465	126	1.0	0.0	0.0	True	BubbleRegion_148
s466	8953	1.0	0.0	0.0	False	None
s467	1655	1.0	0.0	0.0	True	BubbleRegion_149
s468	92	1.0	0.0	0.0	True	BubbleRegion_149
s469	63	1.0	0.0	0.0	True	BubbleRegion_149
s470	934	1.0	0.0	0.0	True	BubbleRegion_149
s471	1994	1.0	0.0	0.0	False	None
s472	1747	1.0	0.0	0.0	True	BubbleRegion_150
s473	21615	1.0	0.0	0.0	False	None
s474	153	1.0	0.0	0.0	True	BubbleRegion_151
s475	1791	1.0	0.0	0.0	False	None
s476	8308	1.0	0.0	0.0	False	None
s477	39	1.0	0.0	0.0	True	BubbleRegion_153
s478	5	0.0	0.0	0.0	True	BubbleRegion_153
s479	13	0.0	0.0	0.0	True	BubbleRegion_153
s480	25	0.0	0.0	0.0	True	BubbleRegion_153
s481	19	0.0	0.0	0.0	True	BubbleRegion_153
s482	95	1.0	0.0	0.0	True	BubbleRegion_153
s483	9	0.0	0.0	0.0	False	None
s484	1550	1.0	0.0	0.0	False	None
s485	135	1.0	0.0	0.0	True	BubbleRegion_155
s486	15878	1.0	0.0	0.08234477536597679	False	None
s487	11908	1.0	0.0	0.0	False	None
s488	60	1.0	0.0	0.0	True	BubbleRegion_157
s489	90	1.0	0.0	0.0	False	None
s490	49	1.0	0.0	0.0	True	BubbleRegion_158
s491	69	1.0	0.0	0.0	True	BubbleRegion_158
s492	19980	1.0	0.0	0.0	False	None
s493	1072	1.0	0.0	0.0	True	BubbleRegion_159
s494	869	1.0	0.0	0.0	True	BubbleRegion_159
s495	231	1.0	0.0	0.0	True	BubbleRegion_159
s496	15933	1.0	0.0	0.0	False	None
s497	2349	1.0	0.0	0.0	True	BubbleRegion_160
s498	2403	1.0	0.0	0.0	True	BubbleRegion_160
s499	2086	1.0	0.0	0.0	False	None
s500	2237	1.0	0.0	0.0	True	BubbleRegion_161
s501	409	1.0	0.0	0.0	True	BubbleRegion_161
s502	516	1.0	0.0	0.0	True	BubbleRegion_161
s503	1187	1.0	0.0	0.0	False	None
s504	33	1.0	0.0	0.0	True	BubbleRegion_162
s505	566	1.0	0.0	0.0	False	None
s506	3834	1.0	0.0	0.0	False	None
s507	6511	1.0	0.0	0.0	False	None
s508	1	0.0	0.0	0.0	True	BubbleRegion_165
s509	1355	1.0	0.929811320754717	0.929811320754717	True	BubbleRegion_165
s510	2	0.0	0.0	0.0	True	BubbleRegion_165
s511	75	1.0	0.0	0.0	True	BubbleRegion_165
s512	45	1.0	0.0	0.0	True	BubbleRegion_165
